"","ko_id","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K04082",4.5709792920049,4.58478278113559,4.80762406048475,4.49712720350144,4.46268026499597,4.33474230345864,4.48435240981962,4.70971143979871,4.24786044330778
"K02516",6.72072989231893,6.59055954483657,6.64263648672879,6.77139101285746,6.68818797887541,6.68158058267696,6.50261887778652,6.22656807851626,6.42219274054563
"K09570",5.63947018941532,5.50852301898711,5.34612319466355,5.68632370689143,5.91652102148895,5.81641521733941,5.52481524775851,5.6899106304759,5.54059239432406
"K14573",7.96802818441432,7.78640649780661,7.50186511556258,7.58201296114215,7.60469691760191,7.72245942259474,7.39280549951779,7.51267728802439,7.59733944799467
"K07952",5.28768852084279,5.20396589571386,4.80762406048475,5.26294672405088,5.31625342345007,5.06745459061394,5.05498335506267,5.18193065954307,4.93320983448922
"K00963",5.73855206461631,6.0018302047843,5.72241312259111,6.19854653484571,6.11630290510938,5.95900581019986,6.10794527005674,6.15356932778219,5.95297902847706
"K18204",4.79646444805843,4.84611167874814,4.80762406048475,4.64071943128945,4.42587655201271,4.79682443930817,5.05498335506267,4.64949643506596,4.75084093293581
"K21618",4.79646444805843,4.84611167874814,4.80762406048475,4.64071943128945,4.42587655201271,4.79682443930817,5.05498335506267,4.64949643506596,4.75084093293581
"K07520",5.37453050621997,5.16905603921393,5.34612319466355,5.7417234899071,5.5193291165819,5.51418020980596,5.52481524775851,5.36311881843599,5.64026213699006
"K06893",4.92455670815371,4.97774672460432,5.34612319466355,4.74277750584899,4.96680581982908,4.86268808243111,5.05498335506267,4.82092822753692,4.93320983448922
"K01725",6.17126103908249,5.75528593384144,6.01576111355785,5.86607148748779,5.87281636044421,5.78600907780764,5.55261409480465,5.81545627881317,5.90122654708303
"K08762",5.33184902189184,5.13313064265057,4.80762406048475,5.3824329067883,5.28194840643893,5.26546625835347,5.20802702298758,5.32889746381604,5.18539388595069
"K17535",7.42434168079198,7.43116969194771,7.40650554543372,7.54938068978055,7.50011079614815,7.35130462373458,7.77771882032387,7.75645999910761,7.76907415722001
"K12115",5.28768852084279,5.16905603921393,4.80762406048475,5.1986789119454,5.153915510256,5.12002500029539,5.13389364434322,5.39644990133891,5.35551169957325
"K12116",5.28768852084279,5.16905603921393,4.80762406048475,5.1986789119454,5.153915510256,5.12002500029539,5.13389364434322,5.39644990133891,5.35551169957325
"K12117",5.28768852084279,5.16905603921393,4.80762406048475,5.1986789119454,5.153915510256,5.12002500029539,5.13389364434322,5.39644990133891,5.35551169957325
"K10625",6.05008918994892,6.11023483846629,5.72241312259111,5.924219511744,5.97956324033574,5.95900581019986,6.10794527005674,6.11557737457507,6.34781432470055
"K20363",4.7264609982884,4.58478278113559,4.80762406048475,4.52754407110319,4.65842793124551,4.43660924930903,4.7276772892469,4.58560051707588,4.24786044330778
"K18732",6.68899674935634,6.7533896578614,6.80187996651942,6.72938313763245,7.05649076778449,7.09818681708666,6.60859722877859,6.65251553618962,6.82848331147356
"K01276",6.62331277294362,6.91912078576358,6.64263648672879,6.7557835321896,6.51051777699297,6.39640419749873,6.60859722877859,6.58530756725505,6.89483166576461
"K04427",8.12333752910629,8.28601836415359,8.03513992020436,8.3324910676011,8.07027118290505,7.85619655993393,8.085532639219,8.26210831173792,8.3884322681446
"K15363",4.7264609982884,4.93550965815532,4.80762406048475,4.66716800586238,4.84843388863992,4.72680635461652,4.8795212976921,4.96951636973074,5.23012938889262
"K01285",6.62331277294362,6.92886452177919,6.64263648672879,6.76620757777956,6.51751301690849,6.40624848790139,6.62130199533944,6.59900737359373,6.89483166576461
"K05355",4.38683984547031,4.58478278113559,4.80762406048475,4.66716800586238,4.96680581982908,4.72680635461652,4.55086446056474,4.64949643506596,4.53151234425184
"K12505",4.38683984547031,4.58478278113559,4.80762406048475,4.66716800586238,4.96680581982908,4.72680635461652,4.55086446056474,4.64949643506596,4.53151234425184
"K17065",9.26566079006397,9.34685141810436,9.56879660732774,9.42643741791381,9.51009484019907,9.36800839925204,9.16755260380664,9.13396868641679,9.0856845796806
"K03083",7.56996764094191,7.52376242163511,7.59127637620275,7.97475584162948,7.91117650406908,7.70680105515972,7.89128062420337,7.88948180433744,7.80383794955033
"K11798",6.89752539540429,6.86937525061651,7.19432305481229,6.90933985939456,6.86798206375918,7.01131521660377,7.15304010999611,7.24498936585261,7.26897825327821
"K10597",6.2611116012172,6.42044483351857,6.80187996651942,6.45367516740041,6.47501051145029,6.42573226692955,6.73078417346504,6.62601466705264,6.50994588169258
"K00658",6.99133685078632,6.92886452177919,6.94504651453381,6.95553434469693,7.09880691607089,6.91880338938062,6.84326707712911,6.71667417343474,6.52685840361104
"K14383",4.86231462576716,4.93550965815532,5.34612319466355,5.27851226519578,5.24668573871514,5.21885062652611,5.17151619080938,5.32889746381604,5.18539388595069
"K14391",4.86231462576716,4.93550965815532,5.34612319466355,5.27851226519578,5.24668573871514,5.21885062652611,5.17151619080938,5.32889746381604,5.18539388595069
"K09553",9.18058241387183,9.10573836201154,8.98059135634524,9.07793139186046,9.03279092823618,9.01995618114823,8.9228396075486,8.71865438607431,8.68883171971834
"K13291",7.18507925690966,7.24151480605163,6.80187996651942,6.9914403829881,7.13539615003972,7.20821677977667,7.19589734772536,7.39290664561908,7.21821627382387
"K06067",8.6982712835376,8.72450014368315,8.42328251748696,8.74048212992457,8.76583991108155,8.79267756876517,8.48034393508938,8.39245798893671,8.43790435000626
"K15304",5.28768852084279,5.30319961753641,5.34612319466355,5.26294672405088,5.21040342949173,5.45634757654023,5.17151619080938,5.18193065954307,5.70278393367042
"K10712",4.38683984547031,4.69705718471015,4.80762406048475,4.36465938589194,4.34753171072266,4.38710975107136,4.41288781601995,4.44409991670237,4.35268905578757
"K15427",5.67331985018982,5.5874848605247,5.34612319466355,5.84612350296188,5.85042644155883,5.7230606166781,5.46738350796181,5.60851889514513,5.73298255486148
"K15498",5.67331985018982,5.5874848605247,5.34612319466355,5.84612350296188,5.85042644155883,5.7230606166781,5.46738350796181,5.60851889514513,5.73298255486148
"K01247",6.51867927090027,6.63902579538541,6.80187996651942,6.42090078398405,6.59225318260899,6.38649031878161,6.29545122978088,6.378049216813,6.32858582056263
"K03178",9.64333043195341,9.61761274338944,9.95212987038924,9.57347455552913,9.59749936177741,9.41684757703568,9.87758563461595,9.78728841461118,9.75854829778953
"K05925",6.60640365615837,6.43428628354227,6.25733923245012,6.41425310539547,6.40874639879614,6.2174954920503,6.56978242772778,6.40959506954079,6.7445439930212
"K14301",6.4820013811683,6.1614060270608,6.01576111355785,6.05962187078298,5.88387462853406,6.07575582517716,6.07095236735795,6.01576052286424,6.00284630344524
"K21596",7.35566157210558,7.36116645524893,7.8302780626183,7.39425626325533,7.36053826414376,7.29472559290262,7.54618682917106,7.57589670629526,7.49885477764445
"K17616",7.55255282086422,7.28756444487377,7.50186511556258,7.63386051862353,7.24822607075127,7.32586376068803,7.5194922604747,7.54111933215773,7.74780480448635
"K21852",5.0398781586389,5.20396589571386,5.34612319466355,5.13090483502507,4.92090222745264,5.26546625835347,4.8795212976921,5.14231501779659,5.31508017953496
"K00135",5.5690688812349,5.48111019125965,5.72241312259111,5.56810703707606,5.5193291165819,5.47591133621941,5.80264018609274,5.46063520139358,5.92734775756121
"K17508",6.34552043963727,6.07503820576164,5.72241312259111,5.97999330879047,6.01002937598831,5.95900581019986,5.953612102482,6.09618307243268,6.09746377669693
"K02878",4.27878105553181,4.52365808857465,4.80762406048475,4.81347054863911,4.53228856713042,4.52842870609458,4.67199477189587,4.51740638499986,4.60989129688241
"K14008",4.79646444805843,4.79862774081995,4.80762406048475,4.3995978629395,4.56532364400511,4.52842870609458,4.83116364500625,4.51740638499986,4.53151234425184
"K12855",7.31488441349706,7.06754629272834,6.94504651453381,7.07325811123947,7.37588702598516,7.21377963204771,7.23750682814719,7.31262394209315,6.93320395190539
"K20790",6.656535986134,6.63902579538541,6.25733923245012,6.40757378881517,6.49642217749706,6.50107292158794,6.16164366792508,6.378049216813,6.34781432470055
"K17609",9.14045034267704,9.06900129036567,8.72871249801962,8.93861739094692,8.86133053401791,8.8256155883344,8.69192342856081,8.72485182179035,9.03400160954045
"K00594",4.79646444805843,4.84611167874814,4.80762406048475,4.90128031807126,4.8972513473153,4.61240373084865,4.92591580602016,5.22031823857717,4.98807956038093
"K01834",8.30042404665305,8.41567676896204,8.2144295094181,8.5546158152419,8.4685946500809,8.379674269006,8.67090042173549,8.69990053899284,8.56478158237803
"K03873",5.94484738974925,6.03892058214325,6.25733923245012,6.05962187078298,6.17991176967567,6.01212191790258,6.12607705083673,5.6899106304759,5.95297902847706
"K15286",4.48332380138496,4.22928983178755,4.80762406048475,4.43324711567612,4.38755197999875,4.38710975107136,4.41288781601995,4.27721529705346,4.44635669290082
"K13431",4.65160600827139,4.52365808857465,4.80762406048475,4.76684935455368,4.77100108563031,4.76237411985153,4.61321262495851,4.87262771604181,4.35268905578757
"K11136",7.68629024738825,7.62274354208216,7.59127637620275,7.47549619381578,7.45025684775146,7.39598928494053,7.70263781529716,7.6945473692838,7.92876482803503
"K00962",7.32518810909928,7.23369363714873,7.19432305481229,6.89991826217527,7.28529652079982,7.09818681708666,7.24568536881582,7.17399674280333,6.8686627503058
"K01113",5.37453050621997,5.33461736687748,5.72241312259111,5.45182413187457,5.36603663386524,5.35383210556289,5.31157013873829,5.39644990133891,5.73298255486148
"K10838",5.80076513589024,5.63762036181926,6.01576111355785,5.81564085635248,5.82766124844492,6.12463127686879,6.08957262839896,5.88554329746255,6.0509668187795
"K19938",4.48332380138496,4.7490243359204,4.80762406048475,4.55704942344488,4.56532364400511,4.76237411985153,4.97052567648395,4.87262771604181,4.81497110203892
"K10370",5.94484738974925,5.68593485488425,5.72241312259111,5.51769534032167,5.42954466007217,5.45634757654023,5.75622900728546,5.60851889514513,5.67188889644169
"K22030",5.94484738974925,5.68593485488425,5.72241312259111,5.51769534032167,5.42954466007217,5.45634757654023,5.75622900728546,5.60851889514513,5.67188889644169
"K03256",4.27878105553181,4.38846189158423,4.80762406048475,4.43324711567612,4.49810955707814,4.61240373084865,4.41288781601995,4.36456796876952,4.60989129688241
"K08730",4.27878105553181,4.38846189158423,4.80762406048475,4.43324711567612,4.49810955707814,4.61240373084865,4.41288781601995,4.36456796876952,4.60989129688241
"K16740",4.65160600827139,4.7490243359204,4.80762406048475,4.64071943128945,4.46268026499597,4.48361586106089,4.7276772892469,4.36456796876952,4.81497110203892
"K20308",5.2419298506137,5.27098370676268,5.34612319466355,5.07749644615965,5.19185870400276,5.31041774311735,5.43769014609594,5.49157614021589,5.60786542134588
"K03349",6.85534655832263,6.68588552432355,6.46315036897825,6.64709482027228,6.66951457310821,6.74470667994745,6.90671525417437,6.813644260425,7.0069787079208
"K12819",5.67331985018982,5.45310892398052,6.01576111355785,5.58041422527918,5.70770262873328,5.65701443681684,5.65830545443323,5.74154244835015,5.50562154111406
"K00463",6.86954565433413,6.51458928495895,6.80187996651942,6.69703942824078,6.55877053519515,6.54619159248202,6.85404037641211,6.83688577218922,6.94576819985233
"K13101",5.41583837418738,5.36527962564404,5.34612319466355,5.1820807288462,5.19185870400276,5.55136310217993,5.27799274325843,5.2937313736269,5.67188889644169
"K12869",6.38588842451626,6.27394684950588,6.80187996651942,6.55369865969339,6.53829271990043,6.58991106818284,6.74244238121816,6.59900737359373,6.52685840361104
"K10777",7.77900450700854,8.06220389334545,8.37384003816828,8.09047493902941,8.11201917481414,7.98504318781469,8.15210836295748,8.0413655107175,8.19791807894404
"K14292",5.28768852084279,5.53537370613507,5.72241312259111,5.64029058938304,5.85042644155883,5.7230606166781,5.49641474365589,5.58024134100163,5.60786542134588
"K03859",5.28768852084279,5.20396589571386,4.80762406048475,5.23122545406685,5.34965688265103,5.24237506304418,5.13389364434322,5.2937313736269,5.27331990903633
"K08337",4.7264609982884,4.64243096009029,4.80762406048475,4.8582243961323,4.96680581982908,4.86268808243111,4.8795212976921,5.01510728133458,5.18539388595069
"K12375",10.4813113448956,10.9138464963796,10.7947315354611,10.9616435742084,10.7884126947611,10.9284522501861,10.9314147285961,10.8580933930692,10.6332609214405
"K04350",4.38683984547031,4.45847409015247,4.80762406048475,4.613581984408,4.6283180375815,4.72680635461652,4.55086446056474,4.82092822753692,4.81497110203892
"K10443",6.2611116012172,6.12750280813958,6.01576111355785,5.97999330879047,6.06900905210767,6.2174954920503,6.32698873308882,6.31274280855569,6.45795387934979
"K12483",6.73633383601101,6.65088705328298,6.25733923245012,6.68609194529652,6.46055283299115,6.41602418622144,6.56978242772778,6.71667417343474,6.60850570178495
"K13125",5.86024154853631,5.5874848605247,5.72241312259111,5.79493121830507,6.09757912937147,5.83136595411291,5.63266132723514,5.60851889514513,5.70278393367042
"K03671",9.59324615950384,9.40695602711808,9.2778653679049,9.00777988825354,9.19358248371691,9.20237094470299,9.32189768331481,9.2651674239993,9.27071636065681
"K02132",11.3299319932171,11.4757871098276,11.6890023947378,11.503691406911,11.4296969454026,11.3338735989427,11.3402317557696,11.1681386980458,11.2053813654931
"K08568",7.4714584629796,7.51089539945882,7.90185807978721,7.71631694819913,7.65897077505991,7.47677017803564,7.61082771078966,7.66901508976763,7.37469370305693
"K18729",5.28768852084279,5.45310892398052,5.72241312259111,5.3824329067883,5.33306455069923,5.56956778499669,5.65830545443323,5.66332850305892,5.60786542134588
"K08869",8.81216336980385,8.85464797004124,8.94719322190251,9.18776002233325,8.91860434115607,8.86487700948848,8.97276682145128,9.1661980418394,9.23556098557821
"K04771",6.4443416421232,6.14455808008041,6.46315036897825,6.35296197294361,6.53140014326109,6.31505612048126,6.5957771602521,6.55750246038432,6.65532011493731
"K03377",6.76703572564299,7.01368187928294,7.07512191097848,7.06906695414436,6.90029770414018,6.72136276587938,6.73078417346504,6.66558204138247,6.94576819985233
"K01001",4.86231462576716,5.20396589571386,4.80762406048475,4.90128031807126,4.98910029685913,5.1948742351299,5.09507934526149,5.18193065954307,5.18539388595069
"K17972",4.92455670815371,5.27098370676268,5.34612319466355,5.26294672405088,5.34965688265103,5.33230974241856,5.37617821874344,5.22031823857717,5.50562154111406
"K12898",8.12333752910629,8.06220389334545,7.8302780626183,7.95453071851512,7.96534335618782,8.01075772601171,8.01572618019721,7.8041378301463,7.60524930298095
"K12476",6.73633383601101,6.65088705328298,6.25733923245012,6.68058629372026,6.45326785789656,6.41602418622144,6.54329978038056,6.70407292832741,6.60850570178495
"K13346",5.86024154853631,5.66199632517561,5.34612319466355,5.49174427810813,5.5620120987221,5.77054552329325,5.70816124228775,5.55134544723168,5.50562154111406
"K05539",5.09360591977132,4.93550965815532,4.80762406048475,4.83606967379692,4.77100108563031,5.04028643714181,5.01350401626013,4.96951636973074,5.27331990903633
"K09698",5.14505595259481,4.7490243359204,4.80762406048475,4.79040505469962,5.01098190387587,4.86268808243111,5.05498335506267,5.14231501779659,4.81497110203892
"K18752",5.14505595259481,4.7490243359204,4.80762406048475,4.79040505469962,5.01098190387587,4.86268808243111,5.05498335506267,5.14231501779659,4.81497110203892
"K14845",5.49469846788397,5.36527962564404,5.72241312259111,5.47857296357273,5.49008236856796,5.55136310217993,5.20802702298758,5.32889746381604,5.27331990903633
"K18404",5.49469846788397,5.36527962564404,5.72241312259111,5.47857296357273,5.49008236856796,5.55136310217993,5.20802702298758,5.32889746381604,5.27331990903633
"K03357",5.77001731230328,5.20396589571386,5.34612319466355,5.50478412859082,5.39818186698777,5.49518582388831,5.57983827213475,5.52180118854646,5.50562154111406
"K13217",7.39530960309029,7.40357751543508,7.07512191097848,7.10225652182758,7.17546871802051,7.18574632010656,6.91702011906844,7.05053434824318,7.19739590928455
"K12735",5.33184902189184,5.01852130763631,5.34612319466355,5.04053560062366,4.92090222745264,5.17042582043693,5.01350401626013,5.05901562367179,4.93320983448922
"K13293",4.38683984547031,4.58478278113559,4.80762406048475,4.55704942344488,4.74393825720906,4.69002874584704,4.7276772892469,4.70971143979871,4.93320983448922
"K13755",4.38683984547031,4.58478278113559,4.80762406048475,4.55704942344488,4.74393825720906,4.69002874584704,4.7276772892469,4.70971143979871,4.93320983448922
"K14016",7.30450600621928,7.27999170809514,6.94504651453381,7.10225652182758,7.15334509997174,7.23033948689486,7.32499768020294,7.20993370545091,7.50732509955564
"K02470",5.2419298506137,4.89168102178113,5.34612319466355,5.32409155987543,5.42954466007217,5.37499838794382,5.17151619080938,5.25756047489144,5.23012938889262
"K09512",6.4820013811683,6.51458928495895,6.46315036897825,6.68609194529652,6.8293278999762,6.76005843492473,6.77685268214364,6.72916432538354,6.42219274054563
"K16186",6.88360433719576,7.24929343406574,7.30434310889011,6.95553434469693,7.16666033816503,7.17437720013407,6.95750930394324,7.13713257546802,6.90773775144949
"K14168",5.28768852084279,5.30319961753641,4.80762406048475,5.16525708966742,5.28194840643893,5.31041774311735,5.13389364434322,5.18193065954307,5.13898286959012
"K14684",7.50806767654452,7.32483844771813,7.07512191097848,7.44999702099267,7.55166967063373,7.57928584389153,7.36306435496772,7.51984085328074,7.49033412152531
"K12501",5.91722424767299,5.4244908864747,5.72241312259111,5.68632370689143,5.82766124844492,5.7230606166781,5.68346570716948,5.46063520139358,5.64026213699006
"K12864",5.94484738974925,6.14455808008041,5.72241312259111,6.05962187078298,6.17991176967567,6.18339518545115,6.21334068621125,6.09618307243268,6.16440295009634
"K01104",6.73633383601101,6.54037018665707,6.25733923245012,6.56571670238988,6.70661828542073,6.50107292158794,6.7654750905125,6.58530756725505,6.68569039733252
"K18995",7.55255282086422,7.7375811367276,7.67544158196234,7.35011779585287,7.37206522958281,7.47677017803564,7.42194169659658,7.47631260801319,7.76907415722001
"K10575",8.11743664238681,8.10983816604246,8.37384003816828,7.96580199653852,7.97291756410485,7.98504318781469,7.96723248747789,7.84459641504875,7.90335155385038
"K09291",5.63947018941532,5.56168671809413,5.72241312259111,5.32409155987543,5.36603663386524,5.24237506304418,5.49641474365589,5.39644990133891,5.394704784104
"K20283",5.63947018941532,5.56168671809413,5.72241312259111,5.32409155987543,5.36603663386524,5.24237506304418,5.49641474365589,5.39644990133891,5.394704784104
"K17981",7.19635792533801,6.86937525061651,6.94504651453381,6.74000236579084,6.67576645601356,6.9458542162244,6.8104481555475,6.84836547567981,6.73005818704988
"K15440",6.07518819680517,5.9044648741672,6.01576111355785,5.94306441951357,5.85042644155883,6.06326191258644,6.0135336765931,6.13470359596221,6.38549676681326
"K12878",7.19635792533801,7.27999170809514,7.30434310889011,7.0134306774422,7.03242785075524,7.29472559290262,7.12669472830489,7.02045946763926,6.85539542560831
"K09966",5.0398781586389,4.7490243359204,4.80762406048475,4.90128031807126,5.03246799397749,4.72680635461652,4.7276772892469,4.58560051707588,4.68270524401463
"K01710",9.06588378640623,9.22250123380116,9.0763799675459,9.28172796075202,9.2996496589115,9.18273494738731,8.92791086803286,8.97670131352643,8.87008773736682
"K17265",5.41583837418738,5.16905603921393,5.34612319466355,5.1986789119454,5.22867616781829,5.56956778499669,5.2434977484945,5.36311881843599,5.04051279905164
"K19718",5.41583837418738,5.16905603921393,5.34612319466355,5.1986789119454,5.22867616781829,5.56956778499669,5.2434977484945,5.36311881843599,5.04051279905164
"K12261",5.77001731230328,5.88413098098733,5.34612319466355,5.64029058938304,5.54793776616325,5.60524123830717,5.73241004108535,5.6899106304759,5.76251744123399
"K07901",6.07518819680517,6.02050039909347,6.25733923245012,6.24443708856915,6.32326093353801,6.35632084979715,6.47483031041738,6.47063645626425,6.26926032967925
"K11348",6.07518819680517,6.24270998541203,6.01576111355785,6.4920215880104,6.02003646369182,6.02508610326627,6.14397444688173,6.11557737457507,6.24891123366784
"K17725",4.98362629595967,5.27098370676268,5.34612319466355,5.09556107367142,5.07431728635596,4.86268808243111,5.20802702298758,5.18193065954307,5.27331990903633
"K12865",7.67828695354677,7.63464957381283,7.30434310889011,7.70828114877448,7.58173825671917,7.69097007182246,7.76073748218027,7.59636555123758,7.86436893754444
"K20781",7.81593639662741,7.65232547853856,8.03513992020436,7.75062838447503,7.83562537244866,7.83114853322391,8.07183969819362,8.10931935769288,7.85113620770498
"K20365",8.54853774746527,8.5875473734243,8.76750405772941,8.41862160374071,8.53996152626013,8.60092445965582,8.36911056299478,8.4422168996089,8.23402213977924
