"","ko_id","add_backA","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"1269","K03854",8.09453319007869,7.94701589899405,7.94368830530373,8.13815162518038,7.94362688084364,8.05116958094049,8.74752517050505,8.68443540954184,8.74025717778107
"1270","K12436",5.30448013203213,5.20916765189902,4.9117346214648,4.57244547936165,5.45770440168277,5.16400774615705,5.88521832505336,5.29012982334045,5.16510172382914
"1271","K00419",8.60396900630528,8.7166974046435,8.97502755185772,8.91855474414276,8.96829487050343,8.66657048064481,8.03622808440879,8.07939172959065,8.84152817751139
"1272","K01341",5.7445638755882,6.11201281489984,4.99096371174793,5.69349999114972,5.72861141647019,5.22794928508866,5.91597689662728,5.78483335501755,5.32723501614166
"1273","K01360",5.7445638755882,6.11201281489984,4.99096371174793,5.69349999114972,5.72861141647019,5.22794928508866,5.91597689662728,5.78483335501755,5.32723501614166
"1274","K08673",5.7445638755882,6.11201281489984,4.99096371174793,5.69349999114972,5.72861141647019,5.22794928508866,5.91597689662728,5.78483335501755,5.32723501614166
"1275","K16533",5.20947652727831,5.14615409293271,5.35773110556295,5.21153425095699,5.97365531655062,5.8447185982261,5.23421496074927,4.83465733021247,5.16510172382914
"1276","K11374",6.42981998585616,5.99643589821637,6.39884106757453,5.62404595545629,5.87075060457359,6.12817927163315,5.78801970103741,5.75579128043035,5.32723501614166
"1277","K01279",9.06995843063489,8.86715020866719,9.10443182229243,9.34960146787054,9.21431424686739,9.3414213500945,9.72476446502086,9.69435706185499,9.96441328793283
"1278","K00311",9.13700675120388,9.25709527315862,9.45729523225301,8.72918913072629,8.81950705855991,8.58387656158737,9.3594016221033,9.4280465707592,9.58456923074099
"1279","K00215",7.68348034558539,7.75090071220567,7.87064682293236,7.83920297326519,7.78823786018923,8.03699802059754,6.9934491926213,7.07532188989061,7.63789611858373
"1280","K19716",4.66893711272743,5.00523326054779,4.72219890443141,5.23244698773017,5.09343751759194,5.34451339078755,5.17658894965247,4.90716867043548,5.85224822135493
"1281","K00128",9.49072630192311,9.40794142030898,9.55337721161752,9.46842164806071,9.28316327399044,9.32407626196848,10.0706383604215,10.1327638661778,10.1445596960815
"1282","K03954",6.31878360555878,6.21804395034249,6.11155016678277,5.99073284627305,6.09145135483368,6.19688082733142,5.23421496074927,5.69549075655912,5.59082582573514
"1283","K03292",7.25738560306808,7.39978646619138,6.70543312753,7.13088726974953,6.89403828925075,6.80016033901147,7.70982795794978,7.63901965225822,7.34549567806543
"1284","K07515",10.6742841505872,10.6887437818261,11.1428924179374,10.7383637132178,10.5173310325247,10.6777571316459,11.2309410145437,11.3081168659549,11.5190969015156
"1285","K03125",7.98196520761186,7.93228036943707,7.65243875498786,7.64207033078927,7.84614482217826,8.02268473101807,8.70746511472352,8.31963875425872,8.40721992352148
"1286","K01965",8.68513185448908,8.70377991723792,9.58781837682647,9.36488221968458,9.42227649639789,9.53600188446956,9.49017892110965,9.45700401011656,9.55508083894741
"1287","K03063",9.51108170886156,9.66032203176376,9.9420806678845,10.3346047682545,10.3415834746263,10.325928676072,9.55475784081787,9.58618834445057,9.75562509175901
"1288","K09645",8.68513185448908,8.85552061790472,7.94368830530373,8.03172839136041,7.9138719986244,7.80979860799877,8.17222454804198,8.07404378049412,8.12376173687848
"1289","K15119",7.44002873520983,7.52342993993557,6.86711920678004,6.9472050995713,6.68030132944316,6.65611244311309,7.54589201461568,7.34988812319186,7.23286318946079
"1290","K16752",6.31878360555878,6.1661124213171,5.70366158816661,5.59504964465872,5.41869181115968,5.22794928508866,5.64479546626563,5.59877741207514,5.39944538970957
"1291","K10967",8.0561333292966,8.01849849082813,7.91491815483782,8.07664855328928,7.99567329846842,8.00458940574243,8.73163478967287,8.68793308687651,8.72855181148065
