"","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K14637",3.90394698694913,4.21963441023177,4.06438387231466,3.06069622824735,4.05105746260566,4.15258589860193,4.73713044089764,4.60769907922273
"K12735",4.36787774396638,4.82985473806213,5.56835127484861,5.71264841550572,5.20472188118357,5.25763663122512,5.95966706044388,5.4533756435958
"K03955",6.96157324783892,6.79088524727382,6.10700408776224,5.97208751482087,5.6812099711027,5.6049532904861,5.73214925022363,6.00555961606778
"K00285",7.06567108040715,7.15084998617848,6.72400749828765,7.12134810749154,7.47078678052886,6.75391568780904,6.2146813876439,5.96481165563315
"K00559",5.72817651319809,6.23661330179611,5.32834770063718,4.78943763297809,5.17056108722248,5.04228251828983,5.99420625987817,5.81964929520513
"K07277",4.1395752161365,4.77613191881685,4.81940992850775,4.96901862206091,4.29972576499819,5.75003000776295,4.37419463731836,4.88610378376261
"K03511",5.00519531173046,5.11075510934637,4.45412670568623,4.45565302017821,3.6943218976063,3.95906613862805,4.90284218363963,4.75503113699805
"K01519",4.28280305662103,4.30728029230473,5.03477943913509,5.33057973794752,5.50496935924964,5.44252498487042,4.64475777188031,5.32748759089428
"K06013",5.8076752149268,5.65340966980213,4.96704932106271,5.04993187440687,4.55725238732486,5.04228251828983,5.73214925022363,5.96481165563315
"K19755",8.51942095424888,8.25809505159581,7.52722286483478,8.09972522236629,7.88986907399886,8.46060796460247,8.58463794925259,9.2082278403462
"K15029",5.97711807955958,5.62521798149876,5.84590268590981,6.19067096987651,6.61102113376769,6.66109221691377,6.75347246955833,7.06572782597895
"K00819",4.74403034424963,4.77613191881685,5.03477943913509,5.33057973794752,4.7173929233185,4.87535283474642,5.73214925022363,6.0581024520543
"K15027",3.40902660833906,3.06069622824735,4.06438387231466,4.15722654105439,3.6943218976063,4.15258589860193,4.59565503025175,4.29118429764356
"K02415",3.7524059391993,4.12316129053633,4.5569893335116,4.57810418974005,3.6943218976063,5.18975722361582,3.90817832924218,4.29118429764356
"K11292",7.37357025173542,7.74933831019825,8.79419079392581,8.70625421222494,8.01385609215036,8.47423425528922,7.96857277230664,7.76801019155981
"K16545",5.82049031071023,5.78626647176606,4.89543997178088,4.96901862206091,5.13547517037109,5.75003000776295,6.01116008725521,6.22787559033857
"K22145",6.328019000201,6.92120641016441,7.28885191095115,8.11736218487111,7.16763318056548,7.19497096079497,6.85907273500575,7.22165776860296
"K14721",3.66114548296003,3.74160879952795,4.89543997178088,3.96294079341465,4.22388857893963,4.68200447576778,4.90284218363963,4.56772456616755
"K19584",6.54172813180646,6.45687377455547,7.66333416742729,7.28671190679487,7.33820871917867,6.68487138175495,6.47963041443047,6.33770578478338
"K00910",7.4361317768163,6.97672868448238,7.48260955318504,7.68038694188803,8.11954004959656,7.24364437988358,6.80244349118591,6.5619840088758
"K12601",7.93462339801759,7.39012026462121,6.44885906075089,7.28671190679487,7.40253688770763,7.2113797320745,7.82023724279535,8.00064979823715
"K03545",3.90394698694913,4.88130013178125,4.81940992850775,4.57810418974005,3.83369835401554,5.25763663122512,4.31079846529046,4.85463775195546
"K03715",8.38236476277105,8.24012535109124,7.10954333374396,7.50372311270499,7.35997335438026,7.09236520225783,7.90749931545357,7.99402499318367
"K10752",6.36307193090221,6.47247707933396,6.85272655364237,6.71919035320609,6.87645937110786,6.39845623647722,5.69029259418503,5.54994245691822
