"","ko_id","add_backA","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"4155","K06443",4.79646444805843,4.7490243359204,4.80762406048475,4.69296938621466,4.5973067444638,4.57129099560329,4.7276772892469,4.64949643506596,4.44635669290082
"4156","K06444",4.79646444805843,4.7490243359204,4.80762406048475,4.69296938621466,4.5973067444638,4.57129099560329,4.7276772892469,4.64949643506596,4.44635669290082
"4157","K00698",8.11151145740942,7.99920407501417,8.26955094224309,8.07390773642856,8.02969811443642,8.06392091586599,7.93733144097438,7.99078342808386,8.26426371831258
"4158","K03545",7.67828695354677,7.74857553268116,7.8302780626183,7.52211813209367,7.68381833718407,7.65061171890361,7.76073748218027,7.58275214976705,7.47313937349737
"4159","K10130",7.26222288290721,7.30259073936977,6.94504651453381,7.18973955090024,7.06125501663558,7.25752008506102,7.1874281125533,7.15568356929299,7.27891799424525
"4160","K01373",5.45586640299898,5.48111019125965,5.72241312259111,5.45182413187457,5.58971818739079,5.49518582388831,5.49641474365589,5.58024134100163,5.76251744123399
"4161","K00288",6.92496537850072,6.99526516002687,7.19432305481229,7.25015967614193,7.19725501420412,7.12206590043055,7.16171501535854,7.24498936585261,7.22851384327266
"4162","K14759",5.37453050621997,5.16905603921393,5.34612319466355,5.23122545406685,5.07431728635596,5.14548381702862,5.37617821874344,5.32889746381604,5.35551169957325
"4163","K16329",4.98362629595967,5.09611996401737,4.80762406048475,5.14820093462279,4.96680581982908,5.14548381702862,5.13389364434322,5.10137836055206,4.98807956038093
"4164","K16330",4.98362629595967,5.09611996401737,4.80762406048475,5.14820093462279,4.96680581982908,5.14548381702862,5.13389364434322,5.10137836055206,4.98807956038093
"4165","K01014",5.37453050621997,5.01852130763631,5.34612319466355,5.32409155987543,5.24668573871514,5.1948742351299,5.20802702298758,5.14231501779659,5.31508017953496
"4166","K10273",5.5690688812349,5.68593485488425,5.72241312259111,5.7198373267133,5.47520986196188,5.47591133621941,5.49641474365589,5.74154244835015,5.67188889644169
"4167","K11600",4.98362629595967,4.84611167874814,4.80762406048475,4.92221777070801,4.71618561241202,4.86268808243111,4.61321262495851,4.87262771604181,4.75084093293581
"4168","K11303",5.41583837418738,5.39522548967623,5.34612319466355,5.54314267303963,5.5620120987221,5.58752477347249,5.46738350796181,5.66332850305892,5.35551169957325
"4169","K01897",10.2611140714711,10.3537750179661,10.3343210739849,10.4333441114556,10.3809095788978,10.2638706666906,10.5962245627829,10.4919900160776,10.4882861193627
"4170","K21625",4.7264609982884,4.89168102178113,4.80762406048475,4.92221777070801,4.94407982466233,4.65193535729147,4.92591580602016,4.92208466703686,4.98807956038093
"4171","K15178",6.99133685078632,7.08505838269146,7.30434310889011,6.95553434469693,7.04691426465717,6.95253736458637,7.09079392837174,7.01029186055613,7.15482254000628
"4172","K21768",5.73855206461631,5.82123961971547,5.72241312259111,5.6285294696531,5.79277994531575,5.58752477347249,5.63266132723514,5.93034022650199,5.81971515807152
"4173","K11400",4.98362629595967,4.79862774081995,4.80762406048475,4.81347054863911,4.79741424977827,5.01248781657806,4.67199477189587,4.70971143979871,4.81497110203892
"4174","K11652",4.98362629595967,4.79862774081995,4.80762406048475,4.81347054863911,4.79741424977827,5.01248781657806,4.67199477189587,4.70971143979871,4.81497110203892
"4175","K08876",7.45279720574687,7.38252895221392,7.59127637620275,7.60528787152303,7.63687068469947,7.34625248806208,7.57887126724089,7.59636555123758,7.42028178463304
"4176","K15124",5.0398781586389,5.09611996401737,5.34612319466355,5.07749644615965,5.26444050525746,5.17042582043693,5.01350401626013,5.22031823857717,5.18539388595069
"4177","K05754",5.41583837418738,5.16905603921393,5.34612319466355,5.1820807288462,5.34965688265103,5.37499838794382,5.52481524775851,5.36311881843599,5.31508017953496
"4178","K13998",7.74875985831466,7.62274354208216,7.90185807978721,7.70289885944377,7.81610034021673,7.89123881291135,7.69669645774809,7.66256044060267,7.61311579942131
"4179","K19028",5.94484738974925,6.11023483846629,5.72241312259111,5.99809137098351,5.93785944569504,5.87525468558198,5.97387817168372,5.99489889733037,6.02711687682928
