"","add_backA","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K01665",5.10216522150089,5.13288013759906,5.405904506574,5.15265780360452,4.89702823401243,5.24880338080455,5.91084528590182,5.3342341438843,5.44106979019712
"K03342",5.10216522150089,5.13288013759906,5.405904506574,5.15265780360452,4.89702823401243,5.24880338080455,5.91084528590182,5.3342341438843,5.44106979019712
"K15588",7.53438977263765,7.74105464896259,7.88521463380106,7.41494326498627,7.51843789066715,7.55775741649749,8.15358368167233,7.88162805530255,8.21133333495291
"K03428",7.37227529957706,7.260001503874,7.92196154627597,7.81372247690201,8.05185639815388,7.842660725204,7.35073640262559,7.6143657323235,7.86210523744428
"K10695",7.3540762016977,7.22371719188527,7.10015818543933,7.3464574954925,7.35783353568123,7.17472533191704,7.89549731172744,7.83833171604019,7.63039922394086
"K03762",4.62464498030338,4.89529336619183,4.88371566300819,4.94155888668375,4.96800864765658,5.21700634682781,5.16110466733309,5.49542052731084,4.58266331654662
"K03348",7.58195326682513,7.34119204192853,6.97824625248496,6.83444851767251,7.41054960320422,7.25764197358176,7.31924754708779,6.91522191385728,6.77403116009758
"K00288",5.39821841893412,5.47404390092653,5.1831251469365,5.15265780360452,5.80059684136544,5.39363976078252,5.99887749612416,5.19329223190541,5.44106979019712
"K13402",5.39821841893412,5.47404390092653,5.1831251469365,5.15265780360452,5.80059684136544,5.39363976078252,5.99887749612416,5.19329223190541,5.44106979019712
"K12586",8.31523154092078,8.27392814672979,7.78499140269371,7.64417186235893,7.69125424224912,7.49111658773901,7.7699090758521,7.8632331717022,8.09809725861741
"K15732",7.0137419762171,7.09550142231504,6.67904011258087,6.77698299462936,6.93231585555538,6.72938011158184,7.47010231969433,7.28479979531691,7.35335537936261
"K13349",6.46060931936202,6.60033454153555,6.03547028413122,6.17246520402961,5.67882423908948,6.07666512970895,6.15823276716584,6.49373895489406,6.37190750461168
"K18633",5.30943722411522,5.65124308232617,4.66695818083004,4.99980537917116,5.03285203874208,5.3093458067014,4.95216313096852,5.08550533726367,4.9053253777895
"K07024",7.23964786542444,6.93936104640882,7.56051434087646,7.25796401244253,7.1456578567872,7.01479053857864,7.51700945095546,7.09636876108288,7.80761650565529
"K19363",5.90009953221832,5.90729741318774,5.97661224990951,6.24435203801799,6.10572699115085,5.96804242290381,5.94089634920987,5.81711436569387,5.21271847302884
"K08495",5.6602685545812,5.60954849818133,5.45456057440311,5.85924970074886,5.25106945831841,5.27955518817207,5.81593638097687,6.11441226140598,5.44106979019712
"K10771",8.54330940033552,8.34250815903261,8.97390504903653,8.78832708260381,8.90751779296603,8.84257311756418,9.24801085514448,9.14312585955722,9.04052424754475
"K13101",6.59385631790113,7.08200873507767,6.24677412368665,6.61517949694568,6.62032269038276,6.25655778005726,6.87301064140479,6.85338869567113,6.40281374203074
"K03608",6.10012158333915,6.25031813946873,5.78083589196666,6.21786190784461,6.33244065060493,6.39140485612876,5.55894518896101,5.87195903838904,6.27457552655711
"K01476",7.33563910596581,7.16107672516909,7.06069485889983,7.28265575500116,7.32156191235444,7.10051583153722,7.94415962351916,7.56195602201476,7.61776089543346
"K19502",6.85296770314914,6.98371364699483,6.47011426982338,6.92695182926912,6.77840835612353,6.75630122176286,7.36107826489271,7.36593985019605,6.90661290608702
"K11839",6.82648414724218,6.87792344480979,6.56911046932471,6.21786190784461,6.29406206886018,6.24357927760249,6.40720713825108,6.40868212127681,6.01408136190872
"K08744",4.73358356907874,4.98281363742684,4.78501096032376,5.07975192056092,5.67882423908948,5.33824848083272,5.02797825038489,5.02597074883223,5.12235476089677
"K11409",5.35481877819957,5.13288013759906,5.62957387794057,5.6083404966332,5.5055116084466,5.24880338080455,5.63848818144276,5.81711436569387,6.05473329265943
"K06047",8.48649541237008,8.44480247582211,8.72739034216347,8.70046049871086,8.62771898176175,8.54434998364925,9.26445595695297,9.00240313963929,9.06384685849665
"K16610",8.48649541237008,8.44480247582211,8.72739034216347,8.70046049871086,8.62771898176175,8.54434998364925,9.26445595695297,9.00240313963929,9.06384685849665
"K20782",9.58058641784953,9.5057813097016,9.75392869640022,9.91760729569433,10.0125616172801,10.065350453642,10.2347451606821,10.2066419835361,10.2822842404765
"K01184",6.21069798958708,6.11851256346113,6.22219117920958,6.56810774202747,6.50918694491575,6.71113338722653,6.91617399503527,6.84068227727283,6.57454160769106
"K12833",8.17315373816934,8.30290280265805,8.0268483573932,7.75358072951102,7.63349968134467,7.51711998718364,7.58017472395469,7.60699609803545,7.70395566460693
"K04558",5.47985586433139,5.13288013759906,5.50104928718999,5.24133250289268,4.96800864765658,5.52029545897012,5.81593638097687,5.78871452806359,5.29493496786928
"K08865",5.81577449675631,5.90729741318774,5.35481071809175,5.48333818171895,5.25106945831841,5.52029545897012,5.22071216726815,5.56758708438197,5.02130679844054
"K03843",6.21069798958708,6.27513692278353,6.67904011258087,6.09630313468964,5.85705573945199,5.83087923009627,6.27732750207293,6.52629985713545,6.01408136190872
"K01952",9.68508913039995,9.67890597374651,9.8309317360966,9.28042530872166,9.63918951084778,9.42792770435572,9.2452516567099,9.12274622101379,9.9534601223284
"K07088",6.71512383026221,6.76334174656512,6.92042841191704,6.79447658965039,6.93231585555538,6.72938011158184,7.55344776668321,7.29404973477907,6.92752160575946
