"","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"K07114",11.2003163388529,10.8796885206189,10.9295491470334,10.8671628294201,11.7494754206521
"K04097",6.47774868715574,7.1225843952475,7.16813851059402,6.98978386375858,6.3709551322364
"K14589",6.31409363795437,7.02874226394325,7.14602483397261,7.16508652964834,6.61729345018745
"K19040",5.73344415386834,5.70843591978691,6.17316752705143,6.59565472958521,5.85830161374345
"K13346",6.00921134558835,6.44437273054127,6.39964145571352,7.02853577103626,6.27799208671172
"K15082",5.43124225068087,5.53269515006796,4.83512069440809,5.02518853376076,4.67012260157213
"K07561",5.02588888990416,5.92608386252419,5.13064407973324,5.11138918472879,5.11800218345946
"K00913",4.79126066965824,5.44584703723157,5.36296868083951,5.80960518264826,5.1769014504202
"K08333",7.8048567398337,7.7095567357013,8.06046707513467,8.16121450604338,7.2075945091823
"K12389",5.21748736801146,5.97156208320517,5.07781919944062,5.6087765235755,5.1769014504202
"K10839",6.31409363795437,7.24671557998118,7.01782220266305,7.12101474098859,6.72582795611069
"K11253",6.8939610543728,7.20449230040559,7.70929764589289,7.55710080910415,7.78067232554179
"K00641",5.84377302300943,6.02987401388672,5.18105281432452,5.46479385378611,6.01328647184852
"K10949",5.52531969890261,6.37977442753747,6.08046729835383,6.47339288083878,6.04222431165021
"K03136",7.09218568467691,6.46525075798001,6.28078023225146,6.30760276230114,6.15210985238812
"K15178",9.59058421332856,8.93642141166458,8.88686723428265,8.81124324802251,8.60765894359577
"K11407",6.45552512099899,6.20357717771208,6.41848965642034,6.75523624447072,5.75568145547098
"K14769",4.47482678629452,4.75417449615362,4.60172908585742,4.0505550105181,5.05575971112334
"K18432",5.3813189996722,6.31199329304704,6.19538227462993,6.17303227447475,6.04222431165021
"K03448",5.32921623383898,5.44584703723157,4.50698671372368,4.93131202429753,4.9896702175954
"K13729",5.32921623383898,5.44584703723157,4.50698671372368,4.93131202429753,4.9896702175954
"K03251",6.38662498717957,6.3463021064669,6.76463974630976,6.85595145148158,7.2442410877395
"K04799",7.2147871758656,7.04938121684548,6.87683227301322,6.24197851247529,6.90531075790247
"K04459",7.12036038098517,6.40164525029659,6.21723926055366,6.25868264284964,6.3709551322364
"K05543",4.59429187527291,4.50774719949961,4.68656463017917,4.88091360239582,5.43306453861736
"K02231",5.09355012730526,4.50774719949961,5.32008796873408,4.57782240058452,4.56879682671555
"K06100",7.43221870153996,7.0217951882548,6.68967502863914,6.73183898755303,6.47896609402011
"K03869",6.15635204793311,6.74576674930793,6.34149722247785,6.83418554960236,5.98370674228903
"K01530",5.32921623383898,5.46814362766301,5.18105281432452,5.63568057562324,4.67012260157213
"K12197",9.69644865218648,8.74483974394522,9.4269589889086,9.02570839415391,9.11319531179701
"K06171",6.33869895968721,6.88286521495568,5.98088867393638,6.15523394861896,6.01328647184852
"K01195",7.37507299711932,7.82113091860352,7.44628039900527,7.40418189230223,6.79377567664145
"K02147",7.78748429839082,7.57444855556459,7.31398972151052,7.51699284193182,8.27942286521651
"K15470",4.95359282904083,5.83012785837927,5.13064407973324,5.19128844829214,4.91908813884155
"K12872",5.61273501759994,6.08574665767376,5.84488731433877,6.11891842852987,6.59835493298172
"K09499",6.26351517670892,6.55549291658315,6.25992718035808,6.0235947294197,6.97989950617881
"K12385",10.616607605862,11.5216993765763,11.395939655851,11.4515240688678,11.2012794480911
"K03246",5.73344415386834,5.35229611999123,5.59246583817259,5.49496470547456,6.30183083334536
"K13241",7.04884482603557,7.55063562384106,7.96948435776448,7.880255667171,7.46705541495758
"K02156",6.49962111615267,6.50608499596698,6.54368733376625,6.68383853472121,5.75568145547098
"K18158",4.59429187527291,5.35229611999123,4.50698671372368,5.19128844829214,4.91908813884155
"K07555",6.00921134558835,5.35229611999123,5.22929527098121,5.55317305555049,5.05575971112334
"K18460",8.70974384693628,8.86704930027195,8.2932697937059,8.45371908456065,7.93000345192404
"K21456",6.4099761943009,7.06972365878418,6.59406801826552,6.40049727414936,6.07054938987917
"K14213",6.12818334132767,6.1909803196086,6.47353771924188,5.63568057562324,5.64417579330099
"K21776",7.18844259563808,7.38265101818539,6.83580170592157,7.24112518902862,6.47896609402011
"K03352",6.56324219433668,6.46525075798001,5.7559418203827,5.98347825262344,5.85830161374345
"K03030",7.45445110456914,6.78749649061764,7.01782220266305,6.62142381178982,7.39296739991892
"K01514",5.32921623383898,5.32771432877915,4.90145720338745,5.11138918472879,4.45248931077015
"K12572",6.33869895968721,6.85962207565407,7.0420113365794,7.10299542017815,6.3709551322364
"K02219",5.32921623383898,5.83012785837927,4.96364372347378,5.26589309955018,4.91908813884155
"K01689",8.06473903205277,8.44101668277636,8.57391711409291,8.58516226480898,9.08337109547229
"K01519",6.36287084785718,6.84391073599562,6.67418812197595,6.54264011591241,5.89078944764357
"K10840",7.97558696554328,7.71384787133745,8.07799170852022,8.11283233925315,7.23213020981274
"K11644",7.60108166747532,8.0688042448098,8.28826277277368,8.15253806586446,8.60299276249368
"K04373",8.72802835493656,8.36955064195235,8.38523358608791,8.47473912311113,9.23875365816012
"K00236",6.60409421533915,7.28193532874416,7.21135895501635,7.07552961460865,7.6046107236629
"K15198",5.80802947019962,6.20357717771208,5.66039966061274,5.78615238585175,6.53994284437069
"K21195",5.61273501759994,5.44584703723157,5.92815891056828,5.92093560250574,5.05575971112334
"K21196",5.61273501759994,5.44584703723157,5.92815891056828,5.92093560250574,5.05575971112334
"K02734",7.56069964440494,7.08312479453843,6.65852773443368,6.75523624447072,6.81026090307522
"K08824",4.47482678629452,5.13925661935453,5.27558102510326,5.3694975508816,4.84316232334717
"K22132",4.79126066965824,4.9116754276186,4.60172908585742,4.88091360239582,5.5639867583281
"K22048",5.02588888990416,4.30897435145189,5.13064407973324,5.22920019898273,4.84316232334717
"K11494",6.79214814109914,7.26443442789161,7.57560877825826,7.74810597117623,7.39296739991892
"K01242",5.80802947019962,5.94141757074093,6.21723926055366,6.41538760153826,5.47827597911027
"K09574",5.1572429064455,5.61384389314193,4.90145720338745,5.3014560031656,4.67012260157213
"K00773",7.32764774043084,7.16097597858469,6.56068445874163,6.50150812590508,6.95053515120523
"K15290",6.84397514768978,7.23477918883688,7.5080931345063,6.84511057876613,7.62322396594833
"K19902",6.84397514768978,7.23477918883688,7.5080931345063,6.84511057876613,7.62322396594833
"K19905",6.84397514768978,7.23477918883688,7.5080931345063,6.84511057876613,7.62322396594833
"K01611",7.17508482587727,7.23477918883688,7.32385723262321,7.23287456340331,8.04472109530943
"K02975",8.22798385073452,8.06209794188469,8.4716695620826,8.20382788531754,8.9828431559288
"K12158",6.52115374467989,6.25282890727867,6.05625912238641,6.50150812590508,5.64417579330099
"K06662",6.97352407218369,6.91327149374289,6.65852773443368,6.78961637042519,6.07054938987917
"K00609",5.3813189996722,5.44584703723157,4.96364372347378,4.88091360239582,5.75568145547098
"K03038",8.42589793066623,7.84478821891156,7.70176994853651,7.62783125750527,8.3026440920322
