"orfs","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"NODE_14244_length_1639_cov_249.282248_g7913_i0.p1",3.45663916018311,3.93643867277776,10.1660651895779,10.387061264252,5.93394743355831
"NODE_23320_length_1012_cov_773.664537_g12790_i1.p1",4.64038702345287,4.08402009765045,10.6494676189917,10.6460148952786,5.36405012002241
"NODE_16071_length_1487_cov_371.403112_g8517_i1.p1",4.15244536790526,4.01634569046727,10.3147147396273,10.4590415084917,5.25827067489619
"NODE_24982_length_912_cov_393.824791_g14179_i1.p2",2.8385128487479,2.8385128487479,8.62300413662211,8.68542171803998,9.05497394935634
"NODE_22425_length_1061_cov_224.638664_g13200_i0.p1",3.45038283765963,3.67937115960614,8.97989001729689,9.49993256258725,2.8385128487479
"NODE_9730_length_2094_cov_227.993568_g3245_i3.p1",2.8385128487479,3.43559581659142,8.89318585430134,9.05301353497902,2.8385128487479
"NODE_5887_length_2773_cov_102.481481_g2855_i1.p1",3.44644602831691,3.68098050385638,9.08321578114107,9.37963157091092,2.8385128487479
"NODE_27992_length_741_cov_993.904192_g17327_i0.p1",3.85389961889247,4.59903227465597,10.4067919785981,10.4904440921348,5.36785620478242
"NODE_7228_length_2488_cov_344.763561_g3780_i0.p1",4.59694522611429,5.08333638113067,9.43891859216769,9.7717922543851,12.0416084252744
"NODE_23618_length_996_cov_655.757313_g13979_i0.p1",4.02720126237893,4.74649901889614,10.4451381719096,10.5694547159757,5.31124617071608
"NODE_10673_length_1979_cov_613.863589_g5766_i0.p4",4.94035440822155,5.48809195955815,11.5090202686877,11.3482371675323,6.53848714346382
"NODE_17635_length_1367_cov_293.445904_g10034_i0.p1",9.32231600663685,6.26033002881711,2.8385128487479,2.8385128487479,9.20325519732468
"NODE_21832_length_1095_cov_427.562622_g11876_i1.p1",3.44386269678693,3.57150189753591,9.58292103857712,9.50413478502284,4.21548664789646
"NODE_25867_length_861_cov_361.279188_g13960_i1.p1",2.8385128487479,3.57225867547364,8.87743986181189,9.40328266482527,3.72893267907343
"NODE_17938_length_1344_cov_117.756098_g8640_i1.p1",2.8385128487479,2.8385128487479,8.49085057316867,8.73849189861051,2.8385128487479
"NODE_10975_length_1945_cov_598.076923_g4894_i2.p2",3.86741616707469,4.14763970370153,10.0304419125457,10.1892638120221,5.46227424297382
"NODE_26311_length_838_cov_295.789542_g15964_i0.p1",3.43886859012596,3.7802445932585,9.25681776076332,9.46096693189145,3.72932816143905
"NODE_28648_length_705_cov_2032.248418_g17892_i0.p1",5.4504642838999,5.28511719839875,11.4243402531529,11.2534785147864,6.66339852696047
"NODE_14884_length_1584_cov_379.808074_g8289_i0.p1",5.38460062602857,4.94347792787957,9.66469179342345,9.78202023629568,2.8385128487479
"NODE_10390_length_2014_cov_541.414735_g4894_i1.p1",3.87488623269358,4.81713828795384,9.84612434027856,9.98291944230476,4.33633040639684
"NODE_27651_length_759_cov_381.526239_g13994_i1.p2",3.6803121106767,3.78056800508095,9.24300083407097,9.70355359594539,4.21671904836687
"NODE_24983_length_912_cov_387.419547_g12146_i1.p1",3.44010530307569,3.86616663176447,9.33799839621547,9.57453128159849,4.54669526954237
"NODE_5961_length_2756_cov_198.130451_g2800_i1.p3",2.8385128487479,4.50540242587492,9.20131714363253,9.46631088875792,4.4453809416036
"NODE_27363_length_776_cov_1201.608819_g16178_i1.p1",2.8385128487479,2.8385128487479,8.44569050961189,8.29932258798973,2.8385128487479
"NODE_6599_length_2613_cov_126.488976_g3430_i0.p1",3.68292351749716,4.46504964466736,9.76033270264291,9.96935628280221,5.3129732399408
"NODE_22089_length_1080_cov_27200.570010_g12976_i0.p1",10.2132882492522,10.8819297500122,16.2568376486585,16.0291162605883,11.0046419622876
"NODE_27568_length_764_cov_180.900145_g16967_i0.p1",2.8385128487479,2.8385128487479,8.30173237942823,8.79252017763886,3.72902199169724
"NODE_21054_length_1139_cov_318.661351_g10854_i1.p2",2.8385128487479,4.31595319478163,8.60809799690289,8.73250062400259,2.8385128487479
"NODE_25090_length_905_cov_383.784856_g14179_i2.p2",2.8385128487479,2.8385128487479,8.47583660889896,8.90370632987155,6.84731932757293
"NODE_3547_length_3459_cov_74.356763_g1796_i0.p2",3.8925730184055,3.93678615345979,9.27640012474525,9.39029238511651,3.91939583892898
"NODE_22802_length_1040_cov_108.959669_g11436_i1.p1",2.8385128487479,2.8385128487479,8.09239291980677,8.27647099491307,2.8385128487479
"NODE_1321_length_4706_cov_165.856249_g649_i0.p2",2.8385128487479,2.8385128487479,7.23339094305803,2.8385128487479,8.91487090845606
"NODE_4640_length_3086_cov_176.450050_g2361_i0.p3",4.74818260393385,5.0015812431169,10.2450620307162,10.5483401409981,5.55097787656438
