"","add_backA","add_backB","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K12168",7.22712557747807,7.56104042466027,7.09596143537074,7.20304367623413,7.27638207243401,7.71764068404714,7.7076524269464,7.58374148241974
"K14788",6.05717708747176,6.03303214721413,6.37890337774073,6.44839929225717,6.36560202983257,5.9989151696901,5.8113453360625,5.85496394606869
"K07515",10.6807304338001,10.7346064228655,10.648480534724,10.4808870431722,10.1174345918279,10.7114104346546,10.7901650777764,10.9399900089572
"K19829",6.85230623923835,7.12326623211848,6.61961803543018,6.39779378757961,6.73782335808218,6.86611955661534,6.8514864795012,7.14448843702588
"K11727",8.35284643039548,8.22692544682035,8.28075828036634,8.28641870847781,8.23385028750444,8.6357864811229,8.75356542909255,8.82158704067572
"K03966",8.01486178727214,7.7228973401996,7.61889575039405,7.61598334312328,7.87270112670148,7.59742773695706,7.28005612071508,7.33584579270469
"K01358",9.64742851289382,9.64684310342622,9.38901781230583,9.49064606851513,9.52483986902566,9.3159029925433,9.20585222153064,8.91542810431572
"K03097",7.70661768662128,8.07440503228524,8.25804360411004,8.41134517102803,8.29244045649738,8.05092388211065,7.82422559437359,7.89475854019021
"K01868",11.0024501164117,11.339092745707,11.4300206057735,11.4343821622107,11.2439268859857,10.976912586916,10.9189231868884,10.8108038123334
"K15728",6.78412943207522,6.95954360736369,6.86027185581257,7.07823204976864,6.98512411818883,6.59259241743135,6.4870493242236,6.41431461738208
"K03028",10.3766798566027,10.2720485448989,10.08690918387,10.1829500639529,10.1124397073864,9.81813226486202,9.63538550672142,9.91381884172256
"K14009",7.61417610410829,7.64867023234179,7.45477409010618,7.64738241057575,7.70203860258024,7.17683608244775,7.218257986324,7.09581520632012
"K14314",5.59432771813846,6.10766511725312,6.13233557075129,5.93940160450186,6.19229702555886,6.33230848008938,6.35712632077345,6.20547617805035
