"","ko_id","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"2357","K03066",7.91924220044499,7.5607066277056,7.42111586784563,7.53624626029264,7.94489197101732
"2358","K20296",7.36376205786903,7.404657696111,6.98430283620575,6.97889876062094,6.89518912911932
"2359","K08678",7.54259915266224,7.31124887868648,6.94638695610104,7.33555222697632,7.51927233730416
"2360","K08823",7.18649798542864,6.59565151551078,6.84001407345349,6.95898461466199,7.13490840642553
"2361","K15216",5.28238434647821,5.4818806505845,5.67866877200224,5.47317975751711,5.91055480961441
"2362","K15115",6.5077280064404,6.96594173464747,6.44387473001268,6.47297482498306,6.83235946471563
"2363","K00861",6.44072239541285,5.93223803281032,6.24742585360925,6.5285216319795,6.14022944713685
"2364","K03165",8.32482636375331,8.27177840439612,8.09061896448594,7.72400392728967,8.18200826319956
"2365","K00003",5.98368972153603,6.00642423449687,5.85921697330701,5.5316691468628,6.16638670717464
"2366","K03437",4.72317897075127,5.07622608897654,5.0121970410637,4.56654935774168,4.58866638384722
"2367","K10085",8.75372498161382,8.71797818655026,8.27401727544357,8.38462657847326,8.27276534977767
"2368","K17502",5.38800856862424,5.6810762564702,5.39033238788853,5.88019387956967,5.32838592714973
"2369","K00281",8.28779465482244,8.58871522813378,8.53709862077931,8.48822017979285,8.00970016767075
"2370","K17550",7.6042910750657,7.20519028259506,7.27636984238006,7.41050494689698,7.7812244770583
"2371","K17619",5.7390063932307,5.43798870556159,5.61247227323637,5.41182591790744,5.1128156296294
"2372","K11323",7.46709427770875,6.93668784584021,7.21409298721236,7.05587192438221,6.87974154949835
"2373","K03012",5.10402685054191,5.1913237661891,5.26230027835682,4.95814477325265,5.59365005445202
"2374","K15272",8.74464952215489,8.81682427170551,9.01695971072464,8.96257720689276,9.35466792025285
"2375","K08900",7.37561944678888,7.21737185973934,7.1489688079783,7.07448034917875,7.66967446821418
"2376","K10885",4.8923121109086,4.80240625900027,4.42045262106673,5.04727931817133,4.68256538194776
"2377","K01425",5.43759348076095,4.98150523328996,5.21640424711893,5.41182591790744,5.59365005445202
"2378","K12175",5.28238434647821,5.88567209561034,5.34913478802708,5.4428805373646,5.51130896750917
"2379","K14407",5.38800856862424,5.54497207294723,5.16864973262454,5.2435182937729,4.91947261339932
"2380","K03644",7.878265815166,7.86466400467047,8.26385285181882,8.32796729990014,7.86149188122588
"2381","K00924",9.07295233853173,9.21585088669475,9.01695971072464,9.24535801301224,8.65650423833877
"2382","K04725",5.16655295494437,4.67750171443367,5.3064976690926,5.08930216618671,5.1128156296294
"2383","K16061",5.16655295494437,4.67750171443367,5.3064976690926,5.08930216618671,5.1128156296294
"2384","K16219",5.22588640199925,5.86978179385767,5.64599459981377,5.64114362080156,5.67101422119431
"2385","K03849",4.62618933199912,4.67750171443367,4.60694776098886,4.86098055203478,4.21783279435769
"2386","K15498",5.33634239027148,5.56532315443573,5.46882136588332,5.96490750826209,5.59365005445202
"2387","K01764",4.96753229051424,5.01398648652132,5.34913478802708,5.08930216618671,5.51130896750917
"2388","K00336",6.93655345315913,7.1490457018528,7.31642628385783,7.44655651116431,6.91046985629207
"2389","K19469",6.37032383960565,6.43629104430433,6.81212132005147,6.81114167847342,6.35942912976739
"2390","K11424",5.03786956801004,4.87775604998184,4.60694776098886,4.56654935774168,4.48357267540089
"2391","K15588",5.03786956801004,4.87775604998184,4.60694776098886,4.56654935774168,4.48357267540089
"2392","K10413",11.2318674525563,11.1422767053797,11.5017996203178,11.5452707737175,11.707665459572
"2393","K20183",7.22638239448603,6.96594173464747,7.05722296105223,7.08369395543147,6.60636052083505
"2394","K03023",5.88428192821371,5.91689563575765,5.34913478802708,5.58757703222129,5.67101422119431
"2395","K03113",5.95136613077494,5.90137515276238,6.09105402288695,5.64114362080156,6.26628925471627
"2396","K15423",8.8751206694944,8.85608904149809,9.14972038045902,9.2248339143395,9.39558451236613
"2397","K00804",6.63280231248382,6.49820345368598,6.18258519730405,6.08274352082791,6.21724699225661
"2398","K14328",6.87073932073569,6.360392093777,6.82613657200762,6.50102473572579,6.83235946471563
"2399","K17265",6.87073932073569,6.360392093777,6.82613657200762,6.50102473572579,6.83235946471563
"2400","K19718",6.87073932073569,6.360392093777,6.82613657200762,6.50102473572579,6.83235946471563
"2401","K21891",6.61271730675869,7.02269850031782,6.78366618678839,6.48707033992456,6.46768205263459
"2402","K09613",5.53121790106434,5.7528710214785,5.64599459981377,5.94422626621548,5.32838592714973
"2403","K00471",5.61839489874792,5.7528710214785,5.50629021951148,5.69257492828106,5.17052691483665
"2404","K01262",6.76588822632998,6.8763019068228,7.02123119583689,7.05587192438221,7.37330681606827
"2405","K21439",5.98368972153603,6.14359578492092,5.67866877200224,5.94422626621548,6.29017010626918
"2406","K19006",7.22638239448603,7.0570521902353,6.92053397979979,7.2235304626508,6.67984380413349
"2407","K14731",6.346040340884,6.82925771563771,6.58320345802262,6.58194322981746,6.24198683857538
"2408","K13095",7.13151901392873,6.84511378729462,7.36496574343431,7.14656951725744,7.42716441221317
"2409","K11754",6.78391340527488,7.40996663076309,7.13781910459619,7.2235304626508,7.06850536245461
"2410","K00472",10.6671675911295,10.2841165382123,10.1899960343709,10.2523936562553,10.0518196553158
"2411","K00815",5.70003353408294,5.6810762564702,6.22615089332171,6.02510959840554,5.87887863103518
"2412","K11324",5.22588640199925,5.71746728153304,5.74165169058026,5.37997196548673,5.37671692152797
"2413","K08852",8.82002754156691,8.739137900943,8.63493606650595,8.77762838525528,8.25506629982575
"2414","K18749",6.81928704219207,6.74718944461118,7.27636984238006,7.14656951725744,6.86412336033266
