"","ko_id","add_backB","add_backC","pFe21_9A","pFe19A","pFe19B","pFe19C","pFe21_9B","pFe21_9C"
"563","K03406",3.80368117001131,5.3764804964977,5.87660364295086,4.84148040470955,4.74227473687128,3.22407973613999,4.67702155983799,5.26757094784777
"564","K03038",7.76442302607496,8.89839968349109,7.07982899682411,7.57149091159424,6.99806523201599,6.58597105995765,6.57218837869775,6.20517726933708
"565","K00138",3.10993723233681,4.20171422164154,5.74740520987062,4.68123855852436,5.62919348577916,4.01887512658513,4.31458836877884,4.48615005456083
"566","K15505",7.45464579488912,7.08987385305463,6.52532581302209,6.71335727622465,6.81456563203894,6.83437280378854,5.4127319139279,4.93442809572294
"567","K02601",3.39258178995175,4.50067051101057,4.98406919284981,3.84913674762801,4.41098717140293,2.71827869300912,2.71827869300912,3.14812063785248
"568","K02888",3.92512169743489,5.62346742852524,6.3887552341669,5.28532840130655,5.52501539798705,3.92784878957003,4.72110367941208,4.71277588382683
"569","K02706",13.2046079235713,12.5612323476996,10.5796976456103,11.5459572286996,10.9476358579945,11.4524009084985,11.481886281215,12.1313757681093
"570","K07399",4.5878913903558,3.65091956100718,5.83484466847325,5.43844528215566,5.28963753383967,5.54085260602004,3.96178137522907,3.90483067108606
"571","K06942",4.17690379766909,4.28396279612654,5.87660364295086,5.38928149449575,5.7261165432672,5.7778864386426,6.09243095399967,6.62420107909793
"572","K05366",3.80368117001131,5.11652712316249,6.52532581302209,5.43844528215566,5.08191133869069,4.1801201593817,4.37353778282438,4.60461291266766
"573","K07428",3.86633314943534,3.90927887057034,5.06064982280389,5.33829195577099,5.41235686582768,5.34696728480051,3.54636247417706,3.56877656530315
"574","K03234",8.46222956565882,8.46665967209959,10.6659744201018,9.28623135769343,9.78532008164296,9.54015394609776,10.0494122093671,10.6195821829045
"575","K00001",5.31802081584819,6.3893600064767,6.49903743143291,4.49765623422506,4.83581398021254,4.10252563801767,5.15857062500568,5.69365160527102
"576","K03046",3.39258178995175,4.01611222604498,5.83484466847325,5.38928149449575,4.64134179111593,3.58571983713356,4.1169137399137,4.09620710999739
"577","K03561",3.39258178995175,5.11652712316249,6.20545522050188,4.49765623422506,4.5315696938922,3.82755781422924,4.42967754596581,4.15295760113126
"578","K01609",8.06728139536439,8.19007302514527,6.76461210550693,6.17248490637996,6.35711200730735,6.22285194803775,7.48023458111077,7.83150949003531
"579","K07303",3.10993723233681,4.89425725442935,2.71827869300912,2.71827869300912,2.71827869300912,2.71827869300912,3.54636247417706,4.35484250860504
"580","K04751",2.71827869300912,3.48408359358466,5.44645633865747,4.39438951853489,4.92305724446273,3.92784878957003,4.042224925691,3.66586809343641
"581","K15192",3.49460312759357,3.65091956100718,5.06064982280389,5.23022281180215,5.77216893732489,5.61628918567909,5.27741687188055,4.87486512471125
"582","K16681",5.40585319534537,5.8572775535693,5.7918062527338,5.77927896244887,5.41235686582768,5.4334214635612,4.31458836877884,3.45743269575774
"583","K02221",6.06979739846689,6.11862480038933,4.11043691322429,4.01379929287045,4.92305724446273,4.61277633118604,5.7127439422008,5.65989759747882
