"orfs","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_29617_length_1059_cov_6170.792089_g1791_i3.p2",2697.53867374635,-1.9291839239675,0.197947770676632,-9.74592397465801,1.92023965366323e-22,2.81315109261663e-19
"NODE_4167_length_2853_cov_74.906835_g2038_i0.p2",116.206914964338,-3.88196800310023,0.403992565007538,-9.60900852971834,7.32509046378192e-22,1.00158403608111e-18
"NODE_6186_length_2507_cov_950.920707_g3061_i0.p1",1278.93485013064,-1.64877325577532,0.174476580085935,-9.44982561535333,3.3939565661243e-21,4.35062807320059e-18
"NODE_20677_length_1428_cov_242.921033_g10890_i0.p2",92.8175923799316,-4.76750711586572,0.505763906161979,-9.42634904899451,4.24611621369203e-21,5.12281432604845e-18
"NODE_109_length_6460_cov_53.089244_g58_i0.p1",177.913707014588,-4.11061319385339,0.437783197943686,-9.38960931612126,6.02232207930841e-21,6.50093820245345e-18
"NODE_17927_length_1564_cov_614.808182_g8467_i1.p2",358.23780105714,-3.74584128172479,0.398907807284663,-9.39024309206298,5.98619364501878e-21,6.50093820245345e-18
"NODE_1048_length_4100_cov_46.938416_g512_i0.p1",116.448302684471,-4.27628213764526,0.459000598019801,-9.31650668015205,1.20233764326267e-20,1.23299725316587e-17
"NODE_8492_length_2232_cov_148.452061_g4241_i0.p4",88.4397537072982,-4.57319811559181,0.493342247597664,-9.26982867950406,1.86445151987437e-20,1.8209476510773e-17
"NODE_13_length_9855_cov_144.615723_g4_i1.p1",576.485949505433,-2.11271918271593,0.228279153073111,-9.25498081745245,2.14268880222208e-20,1.99757033334431e-17
"NODE_13866_length_1798_cov_421.191304_g5717_i1.p1",296.661881674701,-2.78347903082356,0.303068286870736,-9.18432957655767,4.14098707766485e-20,3.69268021577853e-17
"NODE_1046_length_4102_cov_59.171258_g511_i0.p1",113.677698200308,-4.61788405615214,0.509706942928409,-9.05988062399367,1.3059340102334e-19,1.11602943957863e-16
"NODE_6837_length_2425_cov_1622.403912_g3409_i0.p1",1850.83511050352,4.14196149988953,0.457679536175609,9.04991631153088,1.43077954788195e-19,1.17381154108235e-16
"NODE_4854_length_2716_cov_759.560726_g2168_i1.p2",393.049623750162,-3.26046424351547,0.363162220896935,-8.97798299465954,2.75775696878931e-19,2.17544597807188e-16
"NODE_372_length_5172_cov_114.772308_g190_i0.p1",208.16728366106,-2.47685857471728,0.277983587599204,-8.91008924702566,5.09915004138505e-19,3.87346545736324e-16
"NODE_6666_length_2443_cov_122.049789_g3047_i1.p1",115.642022345359,-3.40444437580758,0.38525179055631,-8.83693329728984,9.83818390558679e-19,7.20646971084232e-16
"NODE_20935_length_1416_cov_191.841400_g11036_i0.p1",117.958735644008,-2.5816568199195,0.292624532678321,-8.8224209921507,1.12011224881934e-18,7.921897318374e-16
"NODE_25242_length_1232_cov_183.950820_g13569_i0.p1",74.7444433937386,-4.32782995774035,0.496858588513994,-8.71038572702152,3.02842484801543e-18,2.07043312109322e-15
"NODE_24882_length_1247_cov_176.690801_g13363_i0.p2",106.92122471429,-3.30709471666854,0.385089998231137,-8.58784889729484,8.86127021968349e-18,5.86273071631317e-15
"NODE_886_length_4284_cov_57.207077_g291_i2.p1",110.011895536853,-5.64044449558701,0.662944099756575,-8.50817512013172,1.76692189981662e-17,1.13248650516371e-14
"NODE_1346_length_3870_cov_245.396892_g365_i2.p2",316.827625776357,-2.13512338039688,0.254827248410773,-8.37870908120131,5.35113570946487e-17,3.3258119212462e-14
"NODE_3325_length_3053_cov_103.976510_g1639_i0.p1",127.20467302324,-2.5399388036495,0.303945534606063,-8.35655903595182,6.45741244621221e-17,3.89533909622978e-14
"NODE_30756_length_1017_cov_1525.819915_g17022_i0.p1",361.711911675731,-3.24996449959517,0.389180153816938,-8.35079709928858,6.78038113923073e-17,3.97330334758921e-14
"NODE_20182_length_1451_cov_166.661103_g10602_i0.p1",74.7199447194214,-5.20895573384539,0.629977964763513,-8.26847290730364,1.35685730221919e-16,7.73031757458764e-14
"NODE_14698_length_1744_cov_91.383004_g7182_i1.p1",74.1539228457675,-3.92879268793102,0.479103376859932,-8.20030264382716,2.39782591664324e-16,1.32917323109062e-13
"NODE_1382_length_3849_cov_89.267479_g685_i0.p1",160.360824140654,-2.50023155593653,0.30579674152794,-8.17612229431847,2.93124489277735e-16,1.58210086186483e-13
"NODE_23914_length_1285_cov_167.031353_g12768_i0.p3",83.6725929486929,-2.53214000772422,0.314072663613599,-8.06227443862955,7.48878419431399e-16,3.93833240577897e-13
"NODE_21663_length_1383_cov_1442.728244_g10578_i1.p2",302.524145511647,-2.15488700923539,0.26923511342676,-8.00373688932513,1.20699147553935e-15,6.188848790828e-13
"NODE_1290_length_3917_cov_44.425598_g500_i1.p2",59.0334488199121,-4.05940886260336,0.512448733736944,-7.92159019108277,2.344920712321e-15,1.17303228804155e-12
"NODE_2747_length_3209_cov_97.265944_g1246_i1.p1",166.749047384257,-1.80862319982083,0.231722447732449,-7.8051272870598,5.94415206125749e-15,2.90272758991407e-12
"NODE_7546_length_2338_cov_119.114790_g3456_i1.p2",98.2405737115482,-3.56253042666674,0.456908838865045,-7.7970267231337,6.33828219865476e-15,3.02321320684672e-12
"NODE_37570_length_765_cov_831.205202_g21764_i0.p1",405.358757340612,3.78822203032647,0.489351534245892,7.74131021406576,9.83974911008863e-15,4.58666486927086e-12
