File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,PAR,ETR,1/Tau,NPQ
04 pFe21.9.3,1/1/02,2461,500,6387,6454,6460,67,73,0.01,0.011,114.2,0.26,0.16,1070,0.74,23800,0.1,60000,--------,-------,19871,24012,0,6388,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5932,0.13,500,129.2,50.3,0.63
04 pFe21.9.4,1/1/02,2497,1000,5448,5485,5481,37,33,0.007,0.006,99.9,0.27,0.11,816,0.33,15906,0.56,492071,--------,-------,12012,281175,0,5462,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5185.7,0.12,1000,168.4,83.3,0.92
04 pFe21.9.5,1/1/02,2532,1500,5167,5139,5141,-28,-26,-0.005,-0.005,534,0.04,0.6,206,0.2,10931,0.2,283190,--------,-------,2949,58613,0,5156,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4915.3,-0.13,1500,-203.6,339.1,1.05
04 pFe21.9.6,1/1/02,2567,2000,4632,4615,4598,-16,-34,-0.004,-0.007,521.9,0.04,0.92,45,0.03,38702,0.04,1090207,--------,-------,1393,48347,0,4622,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4435.5,-0.09,2000,-176.1,717.7,1.28
04 pFe21.9-N.1,1/1/02,3315,0,26843,27382,27247,539,405,0.02,0.015,221.3,0.69,0.92,126,0.07,1819,0.01,321027,--------,-------,244,2844,0,26955,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,28077.4,1,0,0,4103,0
04 pFe21.9-N.2,1/1/02,3350,250,22617,22255,22146,-362,-472,-0.016,-0.021,532.8,0.04,0.03,3048,0.8,21036,0.17,93732,--------,-------,20470,33284,0,22576,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,21371.7,-0.41,250,-606,48.9,0.23
04 pFe21.9-N.3,1/1/02,3386,500,21718,21333,21228,-386,-491,-0.018,-0.023,531.5,0.04,0.03,2573,0.76,23205,0.21,88087,--------,-------,22336,36047,0,21660,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,20454.3,-0.44,500,-1346.9,44.8,0.28
04 pFe21.9-N.4,1/1/02,3421,1000,20532,20175,20076,-358,-457,-0.018,-0.023,532.4,0.04,0.03,1676,0.81,20660,0.17,100864,--------,-------,20065,33585,0,20474,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,19360.9,-0.44,1000,-2641.3,49.8,0.36
04 pFe21.9-N.5,1/1/02,3456,1500,19289,18984,18891,-304,-397,-0.016,-0.021,533.6,0.04,0.03,787,0.83,19971,0.14,78641,--------,-------,19297,27605,0,19244,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,18242,-0.41,1500,-3579.3,51.8,0.44
04 pFe21.9-N.6,1/1/02,3492,2000,18023,17784,17696,-240,-327,-0.013,-0.018,529.9,0.04,0.02,550,0.9,19195,0.08,60000,--------,-------,18779,22082,0,17995,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,17176.5,-0.39,2000,-4014.1,53.3,0.54
04 pFe19.1,1/1/02,1978,0,64000,68609,78729,4609,14730,0.067,0.187,236.8,0.34,0.87,557,0.11,567,0.01,543225,--------,-------,558,8111,0,64718,0.01,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,67623.2,1,0,0,1791.1,0
04 pFe19.2,1/1/02,2013,250,36323,36947,36944,624,621,0.017,0.017,148.4,0.4,0.09,1268,0.39,33004,0.52,115753,--------,-------,27239,73232,0,36457,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,31656.5,0.12,250,197.1,36.7,0.86
04 pFe19.3,1/1/02,2049,500,20922,21205,21193,283,271,0.013,0.013,147.9,0.18,0.18,1117,0.33,18705,0.49,89412,--------,-------,12604,50375,0,20974,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,19585.7,0.17,500,311.9,79.3,2.24
04 pFe19.4,1/1/02,2084,1000,16090,16203,16201,113,111,0.007,0.007,134.6,0.7,0.32,156,0.42,10749,0.26,238870,--------,-------,6130,66444,0,16106,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,15245.7,0.12,1000,324.9,163.1,3.23
04 pFe19.5,1/1/02,2120,1500,14199,14311,14308,112,109,0.008,0.008,225.4,0.27,0.34,128,0.39,9817,0.27,75619,--------,-------,5303,23957,0,14213,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13512.6,0.14,1500,550,188.6,3.79
04 pFe19.6,1/1/02,2155,2000,13209,13282,13263,73,54,0.006,0.004,97.3,0.44,0.49,112,0.02,7143,0.5,524749,--------,-------,350,261439,0,13233,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12567.9,0.1,2000,514.3,2857.2,4.17
04 pFe21.9-N.1,10/5/22,65453,0,9544,15533,15634,5989,6090,0.386,0.39,299.4,0.1,0.68,684,0.21,8717,0.11,180378,--------,-------,2586,22490,0,10543,0.09,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10348.6,1,0,0,386.8,0
04 pFe21.9-N.2,10/5/22,65494,250,11528,11880,11899,353,371,0.03,0.031,195.7,0.27,0.05,522,0.81,18404,0.14,259309,--------,-------,17274,50590,0,11583,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7802.9,0.09,250,76.3,57.9,0.31
04 pFe21.9-N.3,10/5/22,65535,500,8568,8830,8842,262,274,0.03,0.031,188.9,0.22,0.09,677,0.68,10480,0.22,60000,--------,-------,9301,20659,0,8593,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6261.1,0.1,500,152.6,107.5,0.76
04 pFe21.9-N.4,10/5/22,65575,1000,7901,8085,8097,184,196,0.023,0.024,200.8,0.22,0.11,793,0.78,9072,0.11,191298,--------,-------,8025,28687,0,7923,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5945.3,0.09,1000,234,124.6,0.92
04 pFe21.9-N.5,10/5/22,65616,1500,7483,7604,7620,121,137,0.016,0.018,161.4,0.08,0.18,981,0.69,7958,0.13,252102,--------,-------,6485,38261,0,7502,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5789.1,0.07,1500,245.9,154.2,1.04
04 pFe21.9-N.6,10/5/22,65657,2000,7121,7173,7177,53,56,0.007,0.008,201.9,0.42,0.11,920,0.51,9447,0.38,374430,--------,-------,7887,145528,0,7138,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5670.8,0.04,2000,151.4,126.8,1.17
04 pFe19-N.1,10/3/22,48174,0,16925,24866,25138,7941,8213,0.319,0.327,249.7,0.11,0.68,582,0.23,6875,0.09,207605,--------,-------,2155,21475,0,18053,0.06,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,17857.4,1,0,0,464,0
04 pFe19-N.2,10/3/22,48214,250,25856,26593,26697,736,841,0.028,0.031,186.5,0.29,0.06,626,0.79,21632,0.14,200766,--------,-------,20091,46262,0,25975,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,16401.7,0.07,250,71.7,49.8,-0.06
04 pFe19-N.3,10/3/22,48254,500,21026,21657,21684,632,659,0.029,0.03,186,0.18,0.09,847,0.77,14780,0.14,187655,--------,-------,13286,37648,0,21113,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13790,0.08,500,151,75.3,0.15
04 pFe19-N.4,10/3/22,48293,1000,17444,17785,17811,340,366,0.019,0.021,165.8,0.18,0.09,946,0.72,13835,0.2,105603,--------,-------,12443,30728,0,17488,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11702.6,0.06,1000,198.2,80.4,0.4
04 pFe19-N.5,10/3/22,48333,1500,14715,14889,14900,174,186,0.012,0.012,122.9,0.09,0.09,995,0.63,16375,0.28,141272,--------,-------,14531,50543,0,14748,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10377.8,0.04,1500,181.3,68.8,0.67
04 pFe19-N.6,10/3/22,48372,2000,12982,13069,13087,86,105,0.007,0.008,103.5,0.09,0.06,745,0.6,19076,0.34,136270,--------,-------,17414,57707,0,13002,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9635.9,0.03,2000,136.9,57.4,0.9
04 pFe 19.1,10/3/22,47585,0,106939,158473,161587,51534,54648,0.325,0.338,252.8,0.27,0.73,561,0.18,6396,0.09,218768,--------,-------,1732,20870,0,113344,0.06,200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,112696,1,0,0,577.3,0
04 pFe 19.2,10/3/22,47625,250,154002,162672,163385,8671,9383,0.053,0.057,171.4,0.11,0.1,723,0.79,25853,0.1,104991,--------,-------,22956,31462,0,155117,0.01,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,94968.7,0.13,250,137.2,43.6,0.35
04 pFe 19.3,10/3/22,47664,500,89137,93949,94020,4813,4883,0.051,0.052,141.4,0.04,0.13,692,0.77,20448,0.1,144111,--------,-------,17490,30028,0,89676,0.01,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,61503.8,0.15,500,263.7,57.2,1.33
04 pFe 19.4,10/3/22,47704,1000,70187,72485,72512,2297,2325,0.032,0.032,136,0.16,0.1,605,0.81,20440,0.09,141660,--------,-------,18286,29914,0,70409,0,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,49995.4,0.1,1000,326.4,54.7,2.02
04 pFe 19.5,10/3/22,47744,1500,62742,64388,64345,1646,1603,0.026,0.025,126,0.11,0.09,585,0.78,18455,0.14,263179,--------,-------,16641,50528,0,62964,0,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,45608.4,0.09,1500,394.9,60.1,2.4
04 pFe 19.6,10/3/22,47783,2000,59331,60667,60640,1336,1309,0.022,0.022,122,0.04,0.09,744,0.79,17230,0.12,244177,--------,-------,15565,42996,0,59494,0,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,43584.5,0.08,2000,453.5,64.2,2.61
04 pFe19.1,10/11/22,50286,0,14144,22980,23087,8835,8943,0.384,0.387,240.5,0.28,0.66,479,0.25,4092,0.09,255721,--------,-------,1467,23160,0,15181,0.07,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,14928.8,1,0,0,681.8,0
04 pFe19.2,10/11/22,50326,250,23076,24000,24068,923,992,0.038,0.041,181,0.22,0.07,491,0.83,22654,0.11,168615,--------,-------,21035,37247,0,23204,0.01,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13035.4,0.08,250,79.7,47.5,-0.04
04 pFe19.3,10/11/22,50366,500,17816,18719,18768,904,953,0.048,0.051,175.1,0.14,0.11,474,0.73,10696,0.16,60000,--------,-------,9349,17441,0,17900,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10900,0.12,500,199.9,107,0.23
04 pFe19.4,10/11/22,50406,1000,16005,16696,16737,690,732,0.041,0.044,180.1,0.08,0.13,700,0.76,8558,0.1,330982,--------,-------,7385,40194,0,16102,0.01,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10039.7,0.1,1000,342.5,135.4,0.38
