"orfs","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_23041_length_847_cov_169.258398_g16009_i0.p2",120.26657533792,-4.50610470358846,0.541871374510399,-8.31581979701344,9.11201854440631e-17,6.28315096902926e-14
"NODE_21687_length_920_cov_212.310508_g14958_i0.p1",156.438635230044,-4.44833484786766,0.535277220282911,-8.31033841775776,9.5429526216645e-17,6.38676137958752e-14
"NODE_1740_length_3537_cov_23.864607_g1203_i0.p1",78.9856997234878,-4.67539805927951,0.567548382822608,-8.23788455889379,1.75282185972309e-16,1.13958461194283e-13
"NODE_25390_length_726_cov_106.134763_g17966_i0.p1",68.0395167586852,-6.27845935743128,0.764093820862372,-8.21686969061637,2.08883826721445e-16,1.32031985473513e-13
"NODE_5120_length_2407_cov_104.612682_g3375_i0.p1",263.804637071062,-6.82073269732575,0.832112318473077,-8.19688946540506,2.46687085614006e-16,1.51712557652614e-13
"NODE_5953_length_2257_cov_68.919414_g2632_i1.p1",103.189702211472,-4.58120993252991,0.55939573024608,-8.18956900245667,2.62163289734218e-16,1.56987517313214e-13
"NODE_20764_length_971_cov_136.012249_g14257_i0.p1",123.563337632668,-3.99831935851213,0.488467325256533,-8.18543872184754,2.71313415115382e-16,1.58300942588475e-13
"NODE_28313_length_591_cov_193.822394_g20686_i0.p1",81.4355688990098,-5.45871761470674,0.668556369935629,-8.16493247268339,3.21615077788617e-16,1.82958777377e-13
"NODE_381_length_5273_cov_75.744808_g259_i0.p1",176.692667198024,-4.55445234395796,0.559124125507814,-8.14569097661716,3.77122121726066e-16,2.09302777557966e-13
"NODE_18230_length_1119_cov_297.737094_g12337_i0.p1",196.135504254857,-3.25821730677768,0.402454217745029,-8.09587069315272,5.68561940282419e-16,3.00875045375034e-13
"NODE_25983_length_698_cov_330.537600_g18488_i0.p1",154.820857822141,-4.51951546700625,0.558175798400281,-8.0969391363063,5.6359251382087e-16,3.00875045375034e-13
"NODE_1461_length_3701_cov_44.227398_g1005_i0.p1",160.587416477171,-4.85696237086816,0.601382556075133,-8.07632732576526,6.67465657571096e-16,3.45185932682507e-13
"NODE_18255_length_1117_cov_144.012452_g12356_i0.p2",118.517198588135,-4.27541882818993,0.532643082258463,-8.02679875248112,1.00049004851309e-15,5.05914467864784e-13
"NODE_23955_length_800_cov_138.264099_g16733_i0.p1",74.6877880202012,-4.30817233783278,0.537961408237306,-8.00832972749665,1.16276807813983e-15,5.75191035175475e-13
"NODE_5381_length_2370_cov_230.763605_g3281_i1.p2",263.648290742921,2.63799120195887,0.332823570387544,7.92609489432242,2.26144806691266e-15,1.09487767579995e-12
"NODE_22156_length_894_cov_229.129111_g15314_i0.p2",152.724673479967,-4.01057719954077,0.506424038552257,-7.91940526955638,2.38649305418512e-15,1.13134686349964e-12
"NODE_2015_length_3377_cov_49.701574_g1368_i0.p1",151.18597406384,-6.1946364803429,0.786542765653911,-7.87577834396944,3.38628106529256e-15,1.57254746205576e-12
"NODE_722_length_4459_cov_29.030552_g490_i0.p1",83.2133809822394,-4.4220141031669,0.561747374653778,-7.8718910006341,3.49320452003251e-15,1.5897573770668e-12
"NODE_8203_length_1925_cov_102.193305_g5411_i0.p1",80.9478194248912,3.57232838505515,0.454365477874951,7.86223548884654,3.77337784677988e-15,1.68359240987208e-12
"NODE_20831_length_967_cov_243.628635_g10913_i1.p1",191.372328914138,-3.04489745399203,0.387982051970271,-7.84803688348281,4.22599941542109e-15,1.83742241881483e-12
"NODE_8671_length_1875_cov_85.769145_g5727_i0.p1",128.240096803688,-4.99188264566133,0.63619597972974,-7.84645424477833,4.27964791022571e-15,1.83742241881483e-12
"NODE_1919_length_3433_cov_47.534226_g1308_i0.p1",159.52171144791,-4.19449240714885,0.536707412630295,-7.81523099633093,5.48623241040689e-15,2.31183737960757e-12
"NODE_375_length_5296_cov_40.983534_g253_i0.p4",100.742004246897,-5.84434623758894,0.748994143160884,-7.80292648608011,6.04877896076851e-15,2.50254482276886e-12
"NODE_14_length_11964_cov_55.853503_g10_i1.p2",131.541453803609,-4.70957411603257,0.605777452331952,-7.77442953332609,7.57881648759757e-15,3.07957087813005e-12
"NODE_28545_length_581_cov_122.145669_g20905_i0.p2",61.6732835765609,-4.90115243318778,0.631890830936055,-7.75632782315805,8.74238625647012e-15,3.49005261870136e-12
"NODE_14852_length_1339_cov_90.210900_g9897_i0.p1",80.0890995592607,-4.52241745189443,0.584408328286553,-7.73845483200738,1.00632286739963e-14,3.948082215117e-12
"NODE_2230_length_3264_cov_21.957380_g1519_i0.p1",68.6475570212723,-4.56379550244303,0.592817885331757,-7.69847809144457,1.37696336279904e-14,5.31064429160885e-12
"NODE_10101_length_1725_cov_148.146489_g5279_i2.p1",108.78658692142,3.66927862226706,0.476796191906026,7.69569615814015,1.40725857682564e-14,5.33702815261125e-12
"NODE_2200_length_3282_cov_52.521346_g1498_i0.p1",183.340104540323,-8.6244785225369,1.12613338075607,-7.65848759118265,1.88135414280707e-14,7.01806779009423e-12
"NODE_618_length_4628_cov_61.513282_g425_i0.p1",157.303855165376,-3.89689724835647,0.511413278075754,-7.6198593494071,2.53952277404498e-14,9.32045818119252e-12
"NODE_3875_length_2686_cov_43.674321_g2602_i0.p1",68.7007676044664,-6.76557905287703,0.892366323282109,-7.58161628958984,3.41276351048548e-14,1.23265767747773e-11
"NODE_21440_length_934_cov_87.610918_g14766_i0.p1",73.6966888096543,-5.15551064390508,0.682127712978628,-7.55798444457366,4.0936298700911e-14,1.45547730771755e-11
