"orfs","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_29_length_9234_cov_211.067460_g20_i0.p2",870.282398656687,-7.74634599079144,1.257642652969,-6.15941736112731,7.30130689414203e-10,1.06682524161835e-06
"NODE_19052_length_1066_cov_261.363545_g12071_i1.p2",135.610198329535,-10.6344630376167,1.78186974402197,-5.96814838643202,2.39961094647954e-09,2.9575649573116e-06
"NODE_19516_length_1039_cov_1276.528986_g13310_i0.p1",631.567377655503,-6.23636889990187,1.04544149667209,-5.96529688151261,2.44189641987889e-09,2.9575649573116e-06
"NODE_6161_length_2219_cov_23.302889_g3363_i1.p1",31.959811553797,3.09728298700342,0.519309708243987,5.96423085845379,2.45789031454328e-09,2.9575649573116e-06
"NODE_3494_length_2793_cov_30.329412_g2353_i0.p1",57.7776998904364,-4.04776644774772,0.681542344564007,-5.93912686428477,2.86544067681312e-09,3.2564141380494e-06
"NODE_21438_length_934_cov_775.989547_g14765_i0.p1",285.709855748852,-6.85335208109749,1.16797998805979,-5.86769649408297,4.41891178049017e-09,4.6756485990974e-06
"NODE_33_length_9074_cov_320.664593_g23_i0.p1",1037.97314520874,-6.01208894440393,1.0270120002069,-5.85396172896981,4.79999122903038e-09,4.6756485990974e-06
"NODE_8067_length_1939_cov_3403.463558_g5319_i0.p2",318.934913473784,-9.00491674558481,1.53763888784222,-5.85632739701417,4.73214907302484e-09,4.6756485990974e-06
"NODE_13053_length_1474_cov_101.374732_g8649_i0.p1",98.7315162185927,-7.12435192102351,1.23350395628931,-5.77570252993379,7.66326589345285e-09,6.53165696318631e-06
"NODE_21468_length_932_cov_1062.413271_g11118_i1.p1",296.945378642875,-7.92239646547688,1.37148910234569,-5.77649246496164,7.62739164963499e-09,6.53165696318631e-06
"NODE_8203_length_1925_cov_102.193305_g5411_i0.p1",80.9478194248912,2.4704059875913,0.426979100363805,5.78577730265113,7.21777841644397e-09,6.53165696318631e-06
"NODE_22089_length_898_cov_1084.505455_g15264_i0.p2",423.137721429751,-9.07917770967976,1.57839117090484,-5.75217213390452,8.81040224480895e-09,7.20902353279247e-06
"NODE_2382_length_3202_cov_112.451582_g1617_i0.p1",140.104565202305,-6.32517389050742,1.10606226438857,-5.71864179274207,1.07378891118179e-08,8.44824075659027e-06
"NODE_2585_length_3110_cov_696.849852_g1651_i1.p3",742.623778123629,-7.18567828442987,1.26237265281398,-5.69220053081168,1.25412436460929e-08,9.50161777868429e-06
"NODE_11391_length_1615_cov_1365.872892_g7524_i0.p1",681.683348540368,-6.71129844481476,1.1844483250745,-5.66618087318639,1.46015392095717e-08,1.06674673596785e-05
"NODE_15390_length_1301_cov_137.754886_g10273_i0.p1",117.283672985793,-7.93091830261071,1.40297095724263,-5.65294545953963,1.57721365409785e-08,1.11253387959399e-05
"NODE_2381_length_3203_cov_69.700000_g1616_i0.p3",22.974729446016,-7.71371108412146,1.36821731258984,-5.63778210752244,1.72254270041549e-08,1.17454444932331e-05
"NODE_4357_length_2557_cov_23.301530_g2728_i1.p1",47.347463038904,4.4208322473256,0.788861079436635,5.60406941420248,2.0937679262617e-08,1.38161666772933e-05
"NODE_9097_length_1827_cov_262.085519_g6025_i0.p1",211.484984065467,-5.92868484966222,1.06197389369584,-5.58270300697268,2.36808940208987e-08,1.51380115028595e-05
"NODE_3684_length_2741_cov_53.061844_g724_i2.p1",73.6953935484821,3.961812537732,0.71047288921472,5.57630361112154,2.45682985095202e-08,1.52293671003256e-05
"NODE_13405_length_1447_cov_264.580058_g4117_i1.p1",248.116440719778,-3.69404793710055,0.666047456094749,-5.54622332582719,2.91905942789272e-08,1.70606513305639e-05
"NODE_2020_length_3375_cov_36.041187_g1372_i0.p2",62.4417059663879,2.85024027650554,0.513812693512716,5.5472360112781,2.90220874270626e-08,1.70606513305639e-05
"NODE_3577_length_2770_cov_100.451613_g2290_i1.p1",138.716365518393,-8.9588491014022,1.61842414498509,-5.5355384613869,3.10273634647956e-08,1.76304374176628e-05
"NODE_10570_length_1683_cov_102.773913_g6998_i0.p1",99.7349267816026,-4.63647601204458,0.838449125072025,-5.52982390153522,3.20552412206023e-08,1.77222166056389e-05
"NODE_30342_length_511_cov_2147.050228_g22662_i0.p1",304.933610638585,-7.78429375090233,1.4100950296537,-5.52040365167024,3.38221805730676e-08,1.82070138369124e-05
"NODE_11918_length_1569_cov_352.402406_g7149_i1.p1",164.449929285465,-6.06903943752954,1.10341736477277,-5.50022106891471,3.79315366855158e-08,1.83158534342618e-05
"NODE_20800_length_969_cov_878.345982_g14284_i0.p1",312.329007044345,-6.00894370703826,1.09106172442358,-5.50742783155817,3.6411460210835e-08,1.83158534342618e-05
"NODE_24868_length_752_cov_2332.960236_g17510_i0.p1",598.048906961828,-5.81251321385524,1.05732100724558,-5.49739688706023,3.8543855341122e-08,1.83158534342618e-05
"NODE_2832_length_3011_cov_44.165078_g1910_i0.p2",36.7473705528477,2.84403601819622,0.517206010439673,5.49884564523627,3.82285583350346e-08,1.83158534342618e-05
