"orfs","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_7753_length_2397_cov_68.758176_g4082_i0.p2",103.630346177514,-3.06742648935818,0.49834495499064,-6.15522733528183,7.49698759070379e-10,5.93344917873145e-07
"NODE_26167_length_845_cov_1533.329016_g15850_i0.p1",1389.09449685414,-7.0518585774405,1.1500196603306,-6.13194610552424,8.68105149313116e-10,6.6251924770257e-07
"NODE_3071_length_3640_cov_51.963274_g1551_i0.p1",245.381764596912,-3.94597256690623,0.645848973486059,-6.10974504706155,9.97904254486433e-10,7.35317793590365e-07
"NODE_14736_length_1597_cov_850.561680_g3780_i1.p1",1836.84593719517,-5.82105726556723,0.955285441380873,-6.09352661875894,1.10449958963854e-09,7.86735057699535e-07
"NODE_9077_length_2190_cov_82.034010_g2938_i2.p1",204.781115197245,2.84204484032576,0.468203762490605,6.0701025237549,1.27828617905118e-09,8.81151527746604e-07
"NODE_10131_length_2046_cov_48.095793_g5447_i0.p1",86.5943945345156,-9.75430377402611,1.609851466761,-6.05913276810042,1.36857397302519e-09,9.11555393346918e-07
"NODE_18633_length_1295_cov_318.437807_g10680_i0.p1",424.454329819369,-2.88440199840733,0.476398788518703,-6.05459557816255,1.40770873604045e-09,9.11555393346918e-07
"NODE_6896_length_2556_cov_62.892066_g3366_i1.p1",186.624528617302,-6.37179604918351,1.05914123120058,-6.01600226814021,1.78777066984321e-09,1.12361386599645e-06
"NODE_4234_length_3206_cov_81.026492_g2160_i0.p1",364.38141561775,-2.29782756167153,0.387410504217334,-5.93124744078304,3.00641735815603e-09,1.83554664361246e-06
"NODE_15075_length_1569_cov_52.548128_g8405_i0.p1",108.305270501197,-2.92598694221464,0.493846546382987,-5.92489096794348,3.12504664040591e-09,1.85497560163427e-06
"NODE_3302_length_3551_cov_20.557504_g1669_i0.p1",75.8891089574462,4.00094716401403,0.679439933004066,5.88859584146651,3.89490649170332e-09,2.2494664005732e-06
"NODE_20571_length_1171_cov_826.904372_g11971_i0.p1",1001.18812649942,-2.07990302714045,0.354279310985126,-5.87080013607616,4.33696858450652e-09,2.43886004427157e-06
"NODE_3650_length_3422_cov_37.653031_g1846_i0.p1",56.0790937640136,-9.11495363636891,1.55983576996024,-5.84353417962791,5.11048066933437e-09,2.80015029289759e-06
"NODE_26248_length_841_cov_786.505208_g13435_i1.p1",437.59265530939,-9.38194357259987,1.60829231817278,-5.83348155468339,5.42826105511952e-09,2.83434841779204e-06
"NODE_5457_length_2882_cov_20.308295_g2806_i0.p2",65.8890408404178,-2.90134166565163,0.497386157789227,-5.83317734162016,5.43817142259692e-09,2.83434841779204e-06
"NODE_1018_length_5031_cov_81.339048_g444_i2.p2",61.3027295816038,-3.4731740845199,0.60053012754157,-5.78351347456665,7.31563250758106e-09,3.72208931082142e-06
